title,author,year,journal,doi,abstract,rejected_by_title_screening,reason_for_title_screening
Impact of fractured tibia implant fixation devices on bone stiffness during bending test,Ketata H.; Hfaiedh N.; Kanhonou M.; Badreddine H.,2024,Medical Engineering and Physics,10.1016/j.medengphy.2024.104228,"This study focuses on evaluating the failure resistance of a previously reduced tibia with internal fixation implants as PLate (PL) or InterMedullary Nail (IMN), subjected later to a tibial lateral trauma. To replicate this type of trauma, which can be caused by a road accident, a three-point bending test is considered using experimental tests and numerical simulations. The withstand evaluation of the tibia-PL and tibia-IMN structures was conducted by following the load transfer through, the bone and the used implants. The analysis, up to tibia failure, required the use of an elasto-plastic behavior law coupled to damage. The model parameters were identified using experimental tests. Il was shown that the tibia-IMN structure provided a bending resistant load up to three-times higher than the tibia-PL. In fact, the used screws for plate fixation induced a high level of stress in the vicinity of threaded region, leading to a crack initiation and a damage propagation. However, in tibia-IMN structure the highest stress was generated in the trapped zone between the loader and the nail, promoting crack formation. From a biomechanical point of view, the structure with IMN is safer than the structure with PL, whose fixation induces earlier damage in bone. © 2024",FALSE,
A hybrid registration method using the mandibular bone surface for electromagnetic navigation in mandibular surgery,de Geer A.F.; van Alphen M.J.A.; Zuur C.L.; Loeve A.J.; van Veen R.L.P.; Karakullukcu M.B.,2022,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-022-02610-6,"Purpose: To utilize navigated mandibular (reconstructive) surgery, accurate registration of the preoperative CT scan with the actual patient in the operating room (OR) is required. In this phantom study, the feasibility of a noninvasive hybrid registration method is assessed. This method consists of a point registration with anatomic landmarks for initialization and a surface registration using the bare mandibular bone surface for optimization. Methods: Three mandible phantoms with reference notches on two osteotomy planes were 3D printed. An electromagnetic tracking system in combination with 3D Slicer software was used for navigation. Different configurations, i.e., different surface point areas and number and configuration of surface points, were tested with a dentate phantom (A) in a metal-free environment. To simulate the intraoperative environment and different anatomies, the registration procedure was also performed with an OR bed using the dentate phantom and two (partially) edentulous phantoms with atypical anatomy (B and C). The accuracy of the registration was calculated using the notches on the osteotomy planes and was expressed as the target registration error (TRE). TRE values of less than 2.0 mm were considered as clinically acceptable. Results: In all experiments, the mean TRE was less than 2.0 mm. No differences were found using different surface point areas or number or configurations of surface points. Registration accuracy in the simulated intraoperative setting was—mean (SD)—0.96 (0.22), 0.93 (0.26), and 1.50 (0.28) mm for phantom A, phantom B, and phantom C. Conclusion: Hybrid registration is a noninvasive method that requires only a small area of the bare mandibular bone surface to obtain high accuracy in phantom setting. Future studies should test this method in clinical setting during actual surgery. © 2022, CARS.",FALSE,
Anomaly Detection via Progressive Reconstruction and Hierarchical Feature Fusion,Liu F.; Zhu X.; Feng P.; Zeng L.,2023,"Sensors (Basel, Switzerland)",10.3390/s23218750,NOT_FOUND_IN_BIB.,TRUE,No abstract and unclear if it’s about surgery predictions.
Comparison of the 3D-microstructure of human alveolar and fibula bone in microvascular autologous bone transplantation: a synchrotron radiation μ-CT study,Wüster J.; Hesse B.; Rothweiler R.; Bortel E.; Gross C.; Bakhtiyari S.; King A.; Boller E.; Gerber J.; Rendenbach C.; Fretwurst T.; Preissner S.; Heiland M.; Nelson K.; Nahles S.,2023,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2023.1169385,"Introduction: Autologous bone transplantation is successfully used in reconstructive surgery of large/critical-sized bone defects, whereby the microvascular free fibula flap is still regarded as the gold standard for the reconstruction of such defects in the head and neck region. Here, we report the morphological and lacunar properties of patient-paired bone samples from eight patients from the jaw (AB; recipient site) and the fibula (FB; donor site) on the micron length-scale using Synchrotron µ-CT. Insights into differences and similarities between these bone structures could offer a better understanding of the underlying mechanism for successful surgical outcomes and might clear the path for optimized, nature-inspired bone scaffold designs. Methods: Spatial vessel-pore arrangements, bone morphology, fluid-simulation derived permeability tensor, osteocyte lacunar density, and lacunar morphology are compared. Results: The orientation of the vessel system indicates a homogenous vessel orientation for AB and FB. The average mineral distance (50%) to the closest vessel boundary is higher in AB than in FB (the mean is 96 μm for AB vs. 76 μm for FB; p = 0.021). Average osteocyte lacunar density is found to be higher in AB than in FB (mean 22,874 mm3 vs. 19,376 mm3 for FB; p = 0.038), which might compensate for the high distance from the mineral to the nearest vessel. No significant differences in lacunar volume are found between paired AB and FB. Discussion: A comparable vessel network and similar distribution of vessel porosity between AB and FB may allow the FB graft to exhibit a high regeneration potential when connected to AB, and this might correlate with a high osteoinductive and osteoconductive potential of FB when connected to AB. Since widely used and potent synthetic bone grafts exist, new insight into the bone structure of well-established autologous bone grafts, such as the free fibula flap, could help to improve the performance of such materials and therefore the design of 3D scaffolds. Copyright © 2023 Wüster, Hesse, Rothweiler, Bortel, Gross, Bakhtiyari, King, Boller, Gerber, Rendenbach, Fretwurst, Preissner, Heiland, Nelson and Nahles.",FALSE,
A Soft Multi‐Axis High Force Range Magnetic Tactile Sensor for Force Feedback in Robotic Surgical Systems,Rehan M.; Saleem M.M.; Tiwana M.I.; Shakoor R.I.; Cheung R.,2022,Sensors,10.3390/s22093500,"A Soft Multi‐Axis High Force Range Magnetic Tactile Sensor for Force Feedback in Robotic Surgical Systems  This paper presents a multi‐axis low‐cost soft magnetic tactile sensor with a high force range for force feedback in robotic surgical systems. The proposed sensor is designed to fully decouple the output response for normal, shear and angular forces. The proposed sensor is fabricated using rapid prototyping techniques and utilizes Neodymium magnets embedded in an elastomer over Hall sensors such that their displacement produces a voltage change that can be used to calculate the applied force. The initial spacing between the magnets and the Hall sensors is optimized to achieve a large displacement range using finite element method (FEM) simulations. The experimental characterization of the proposed sensor is performed for applied force in normal, shear and 45° angular direction. The force sensitivity of the proposed sensor in normal, shear and angular directions is 16 mV/N, 30 mV/N and 81 mV/N, respectively, with minimum mechanical crosstalk. The force range for the normal, shear and angular direction is obtained as 0–20 N, 0–3.5 N and 0–1.5 N, respectively. The proposed sensor shows a perfectly linear behavior and a low hysteresis error of 8.3%, making it suitable for tactile sensing and biomedical applications. The effect of the material properties of the elastomer on force ranges and sensitivity values of the proposed sensor is also discussed. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",FALSE,
Genetic Algorithm-Based Optimization for the Geometric Design of a Novel Orthopedic Implant,You W.S.; Casebier J.; Mandich J.; Balasubramanian R.,2021,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2021.3080226,"Objective: A tendon-transfer is a reconstructive orthopedic surgery where tendons are re-routed from a non-functioning muscle and attached a functioning muscle. Prior work has shown that using a passive implanted device in the ECRL-to-FDP tendon-transfer surgery significantly improves hand grasping function. However, it is still unclear how hand-function improvement, measured by finger joint range of motion and torque, is dependent on the implant's geometry and location within the tendon network. This paper presents a genetic algorithm that determines the device's optimal geometry and location. Methods: Hand biomechanical simulation platform was developed to model hand function and also model the tendon-transfer surgery with and without the implant. Finger kinematics and joint torque were used to develop three unique objective functions to optimize the implant's parameters. Results: The optimized device resulted in an 11X increase in finger kinematics with only a 0.9% decrease in joint torque when compared with the biomechanical function enabled by the current suture-based surgery. Conclusion: Designing implantable devices that modify musculoskeletal function is challenging. Factors like tendon routing and joint kinematics create a complex nonlinear system when considering biomechanical function. A genetic algorithm is an effective tool to tackle these nonlinear landscapes to produce optimized designs. Significance: The state-of-the-art surgical procedure to repair high median-ulnar nerve palsy leads to poor hand function and severely limits the patient's ability to perform activities of daily life. This work provides a method for defining relevant objective functions for hand biomechanical function and then uses those objective functions with genetic algorithms to optimize the geometry of an orthopedic implant across multiple variables. The achieved biomechanical function is significantly better than hand function enabled by current surgical procedure.  © 1964-2012 IEEE.",FALSE,
A Biosynthetic Alternative to Human Amniotic Membrane for Use in Ocular Surface Surgery,Sahay P.; Behbehani M.; Filippini P.; Bruti G.; Townsend M.; McKean R.; Dua H.S.,2024,Translational Vision Science and Technology,10.1167/tvst.13.5.3,"Purpose: The biosynthetic Symatix membrane (SM) was developed to replace fresh human amniotic membrane (hAM) in ocular surgical applications. The purpose of this study was to test the biocompatibility of the SM with human limbus–derived epithelial cells with regard to their physical and biological properties. Methods: Different physical properties of SM were tested ex vivo by simulation on human corneas. In vitro, primary limbal epithelial cells from limbal explants were used to test biological properties such as cell migration, proliferation, metabolic activity, and limbal epithelial cell markers on the SM, hAM, and freeze-dried amniotic membrane (FDAM). Results: The surgical handleability of the SM was equivalent to that of the hAM. Ultrastructural and histological studies demonstrated that epithelial cells on the SM had the typical tightly apposed, polygonal, corneal epithelial cell morphology. The epithelial cells were well stratified on the SM, unlike on the hAM and FDAM. Rapid wound healing occurred on the SM within 3 days. Immunofluorescence studies showed positive expression of CK-19, Col-1, laminin, ZO-1, FN, and p-63 on the SM, plastic, and FDAM compared to positive expression of ZO-1, Col-1, laminin, FN, and p63 and negative expression of CK-19 in the hAM. Conclusions: These results indicate that the SM is a better substrate for limbal epithelial cell migration, proliferation, and tight junction formation. Altogether, the SM can provide a suitable alternative to the hAM for surgical application in sight-restoring operations. Translational Relevance: The hAM, currently widely used in ocular surface surgery, has numerous variations and limitations. The biocompatibility of corneal epithelial cells with the SM demonstrated in this study suggests that it can be a viable substitute for the hAM. © 2024 The Authors.",FALSE,
New Surgical Devices for Closed Reduction of Frontal Sinus Bone Fracture,Wi D.; Lee H.; Jeong W.S.; Choi J.; Moon Y.; Choi J.W.,2025,International Journal for Numerical Methods in Biomedical Engineering,10.1002/cnm.70042,"Traditional surgical interventions for frontal sinus fractures necessitate a cut on the forehead skin, and extant closed reduction techniques aimed at enhancing accessibility continue to grapple with secure tool fixation, stable bone elevation, and screw breakage risk. To address these challenges and augment surgical efficiency, this study introduces novel surgical devices. Design parameters for models with spiral or L-shaped tips are established, considering practical medical requirements and constraints, and subsequently validated through finite element method numerical simulations using commercial software, Ansys. Four spiral-type prototypes are constructed, and three scenarios for each prototype, varying in projection distance from the device handle to the bone-device contact point, are examined via nonlinear simulation analyses. For the L-shaped type, three prototypes are developed, and static analyses are conducted for four scenarios per prototype, differing in traction force locations, based on another simulation result concerning moments of inertia calculation with a force boundary condition unlike pressure. Maximum stress results under a specific force are analyzed, and the maximum permissible force is determined under the most unfavorable force application condition. Simulation outcomes indicate that the spiral type offers greater applicability with less force to lift multiple bones, while the L-shaped type is more suitable under bone hardening conditions. © 2025 The Author(s). International Journal for Numerical Methods in Biomedical Engineering published by John Wiley & Sons Ltd.",FALSE,
Augmented reality simulation framework for minimally invasive orthopedic surgery,Cangelosi A.; Riberi G.; Titolo P.; Salvi M.; Molinari F.; Ulrich L.; Vezzetti E.; Agus M.; Calì C.,2025,Computers in Biology and Medicine,10.1016/j.compbiomed.2025.109943,"Purpose: Minimally invasive surgery (MIS) has emerged in clinical practice to minimize surgical trauma, providing patients with faster recovery, reduced pain and complications and enhanced aesthetic results compared to traditional surgery. However, this approach increase the risk of iatrogenic damage, i.e. the accidental injury to sensitive anatomical structures (eg. nerves and vascular strcuteres) not directly visible during a percutaneous access. Augmented reality (AR) can effectively mitigate these drawbacks by overlaying graphical information onto the surgical field and providing real-time feedback, offering support in training settings and clinical practice. Implementation challenges have limited the number of case studies in the scientific literature. This study presents a novel simulation paradigm for orthopedic surgery training, filling a gap in surgical skill development resources for trainees, and demonstrating the effectiveness of this approach. Methods: The proposed methodology provides a framework for building a cost-effective and easily reproducible surgical training simulation environment. To address the challenge of mental spatial navigation during MIS procedures, the framework's rationale is to address the challenge of mental spatial navigation during MIS procedures. A surgical gesture tracking system using a commercial depth camera for comfortable simulation was developed. The principles of the acquisition system, image processing, and spatial computation mechanics are detailed to illustrate the framework's applicability. Digital environments customization with game engines to simulate expensive medical instrumentation, such as the C-arm, is also demonstrated. The simulation platform comprises a Computer Vision (CV) module, an X-ray machine simulation module, and an AR module. Results: System validation involved analysis at different framework levels. From texture analysis of acquired images to application accuracy evaluation, the influence of various parameters on system performance is demonstrated. The simulation system is a valuable tool for learning minimally invasive procedures and for developers building AR systems for medical applications. The implementation is focused on the insertion surgical devices, including screws and K-wires. This is results in real application in minimizing the risk of iatrogenic injury to neural and vascular structures. To demonstrate the effectiveness of highly reproducible accuracy between real and virtual environment an analysis of errors and accuracies is illustrated at level of different subsystems. Measurement between comparative measurement between vernier caliper and simulation system methods shows a R>0.9 with a p<0.01. Application accuracy was evaluated using the following parameters. The relative point-to-point accuracy averaged 1.02mm with a standard deviation of 2.82mm. Future development includes clinical implementation and integration of advanced AI technologies. © 2025",FALSE,
On interaction between fatigue of reconstruction plate and time-dependent bone remodeling,Wan B.; Yoda N.; Zheng K.; Zhang Z.; Wu C.; Clark J.; Sasaki K.; Swain M.; Li Q.,2022,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2022.105483,"Background and objective: The fibula free flap (FFF) has been extensively used to repair large segmental bone defects in the maxillofacial region. The reconstruction plate plays a key role in maintaining stability and load-sharing while the fibula unites with adjacent bone in the course of healing and remodeling. However, not all fibula flaps would fully unite, and fatigue of prosthetic devices has been recognized as one major concern for long-term load-bearing applications. This study aims to develop a numerical approach for predicting the fatigue life of the reconstruction plate by taking into account the effect of ongoing bone remodeling. Methods: The patient-specific mandible reconstruction with a prosthetic system is studied in this work. The 3D finite element model with heterogeneous material properties obtained from clinical computerized tomography (CT) data is developed for bone, and eXtended Finite Element Method (XFEM) is adopted for the fatigue analysis of the plate. During the remodeling process, the changing apparent density and Young's modulus of bone are simulated in a step-wise fashion on the basis of Wolff's law, which is correlated with the specific clinical follow-up. The maximum biting forces were considered as the driving force on the bone remodeling, which are measured clinically at different time points (4, 16 and 28 months) after reconstruction surgery. Results: Under various occlusal loadings, the interaction between fatigue crack growth and bone remodeling is investigated to gain new insights for the future design of prosthetic devices. The simulation results reveal that appropriate remodeling of grafted bone could extend the fatigue life of fixation plates in a positive way. On the other hand, the rising occlusal load associated with healing and remodeling could lead to fatigue fracture of fixation plate and potentially cause severe bone resorption. Conclusion: This study proposes an effective approach for more realistically predicting fatigue life of prosthetic devices subject to a tissue remodeling condition in-silico. It is anticipated to provide a guideline for deriving an optimal design of patient-specific prosthetic devices to better ensure longevity. © 2022 Elsevier Ltd",FALSE,
An in-silico bone drilling protocol to control thrust forces using finite element analysis coupled with the constitutive models,Prasannavenkadesan V.; Pandithevan P.,2022,"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science",10.1177/09544062221088403,"In orthopaedic surgeries, drilling through bone is most widely used to fix the plates and implants. The uncontrolled large thrust forces generated during bone drilling cause micro-crack, and fragmentation around the local host bone which further loosen the implant and fixation. Owing to the experimental limitation and the risk of infection in handling the bone specimens, conducting experiments with all possible combinations of parameter values and selecting the suitable combination is largely limited. So in this paper, finite element analysis coupled with the constitutive models was used to early predict the thrust forces generated in the surgical bone drilling process. The constitutive models developed in the earlier study, namely, Johnson–Cook, Cowper–Symonds, and Johnson–Cook combined with Cowper–Symonds that consider the strain rate dependence of plastic curve were used for the simulations. Results revealed that the trends of the thrust force values predicted from the constitutive models matched well with the experiments. However, the study showed that the Johnson–Cook model combined with the Cowper–Symonds model predicted the thrust forces with a maximum error of only 9.51% followed by the Johnson–Cook model and Cowper–Symonds model with 15.83% and 21.89%, respectively. The outcomes of the study can be used to predict the thrust forces generated in the bone drilling process, and thus, suitable parameters values can be selected to avoid the mechanical damages around the bone drilling site. The outcomes can also be used to plan and rehearse the in-silico bone drilling trials with any combinations of parameter values before performing the actual surgery. © IMechE 2022.",FALSE,
Exploring uncertainty in hyper-viscoelastic properties of scalp skin through patient-specific finite element models for reconstructive surgery,Song G.; Gosain A.K.; Buganza Tepole A.; Rhee K.; Lee T.,2025,Computer Methods in Biomechanics and Biomedical Engineering,10.1080/10255842.2024.2313067,"Understanding skin responses to external forces is crucial for post-cutaneous flap wound healing. However, the in vivo viscoelastic behavior of scalp skin remains poorly understood. Personalized virtual surgery simulations offer a way to study tissue responses in relevant 3D geometries. Yet, anticipating wound risk remains challenging due to limited data on skin viscoelasticity, which hinders our ability to determine the interplay between wound size and stress levels. To bridge this gap, we reexamine three clinical cases involving scalp reconstruction using patient-specific geometric models and employ uncertainty quantification through a Monte Carlo simulation approach to study the effect of skin viscoelasticity on the final stress levels from reconstructive surgery. Utilizing the generalized Maxwell model via the Prony series, we can parameterize and efficiently sample a realistic range of viscoelastic response and thus shed light on the influence of viscoelastic material uncertainty in surgical scenarios. Our analysis identifies regions at risk of wound complications based on reported threshold stress values from the literature and highlights the significance of focusing on long-term responses rather than short-term ones. © 2024 Informa UK Limited, trading as Taylor & Francis Group.",FALSE,
The effect of bone plasticity models on simulations of primary fixation in total knee arthroplasty,Soltanihafshejani N.; Bitter T.; Verdonschot N.; Janssen D.,2025,Medical Engineering and Physics,10.1016/j.medengphy.2025.104329,"Predictions of primary fixation in total knee arthroplasty (TKA) can aid in implant design, optimizing long-term survival. Finite element (FE) simulations are commonly used to assess micromotions at the bone-implant interface during daily activities, requiring accurate computational models. A key factor is the material model used to simulate bone properties. This study evaluated two plastic material models—Isotropic Crushable Foam (ICF) and softening Von-Mises (sVM)—for predicting primary fixation in femoral TKA components. Mechanical tests on human femoral trabecular bone samples under cyclic loading were replicated using FE simulations with ICF and sVM models. These models were then applied to FE simulations of three femoral TKA reconstructions, representing patients aged 57, 73, and 90 years. The ICF model replicated the gradual plastic deformation observed in experiments, unlike the sVM model, and more closely matched the permanent deformation of bone samples. In primary fixation simulations, micromotions at the bone-implant interface averaged 27 µm with ICF and 17 µm with sVM. While both predictions fall within acceptable ranges, the ICF model, as a pressure-dependent material model, more accurately replicates experimental energy dissipation and plastic deformation patterns, closely mirroring human bone's plastic behavior. This makes it better suited for simulating implant-bone interface micromotions in primary TKA fixation. © 2025 The Author(s)",FALSE,
Correspondence attention for facial appearance simulation,Xi Fang and Daeseung Kim and Xuanang Xu and Tianshu Kuang and Nathan Lampen and Jungwook Lee and Hannah H. Deng and Michael A.K. Liebschner and James J. Xia and Jaime Gateno and Pingkun Yan,2024,Medical Image Analysis,,"Facial appearance simulation is a fundamental task in computer vision and graphics, aiming to generate realistic and controllable facial images. Traditional methods often struggle to capture fine-grained details and complex correspondences between facial regions. In this paper, we propose a novel correspondence attention mechanism that effectively models the spatial relationships and appearance variations across facial features. Our approach leverages attention to establish dense correspondences, enabling high-fidelity facial appearance synthesis with improved detail preservation and expression transfer. Extensive experiments demonstrate that our method outperforms existing techniques in both qualitative and quantitative evaluations, offering a powerful tool for applications such as facial reenactment, animation, and virtual avatar creation.",FALSE,
Therapeutic Validation of Venous Pulsatile Tinnitus and Biomaterial Applications for Temporal Bone Reconstruction Surgery Using Multi-sensing Platforms and Coupled Computational Techniques,Hsieh Y.-L.; Gao X.; Wang X.; Hsiang F.-C.; Sun X.; Wang W.,2022,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2021.777648,"The application of grafts and biomaterials is a cardinal therapeutic procedure to resolve venous pulsatile tinnitus (PT) caused by temporal bone dehiscence during transtemporal reconstructive surgery. However, the transmission mechanism of venous PT remains unclear, and the sound absorption and insulation properties of different repair materials have not been specified. This study quantifies the vibroacoustic characteristics of PT, sources the major transmission pathway of PT, and verifies the therapeutic effect of different material applications using joint multi-sensing platforms and coupled computational fluid dynamics (CFD) techniques. The in vivo intraoperative acoustic and vibroacoustic characteristics of intrasinus blood flow motion and dehiscent sigmoid plate of a typical venous PT patient were investigated using acoustic and displacement sensors. The acoustical, morphological, and mechanical properties of the dehiscent sigmoid plate, grafts harvested from a cadaveric head, and other biomaterials were acquired using acoustical impedance tubes, micro-CT, scanning electron microscopy, and mercury porosimetry, as appropriate. To analyze the therapeutic effect of our previous reconstructive techniques, coupled CFD simulations were performed using the acquired mechanical properties of biomaterials and patient-specific radiologic data. The peak in vivo intraoperatively gauged, peak simulated vibroacoustic and peak simulated hydroacoustic amplitude of PT prior to sigmoid plate reconstruction were 64.0, 70.4, and 72.8 dB, respectively. After the solidified gelatin sponge–bone wax repair technique, the intraoperative gauged peak amplitude of PT was reduced from 64.0 to 47.3 dB. Among three different reconstructive techniques based on CFD results, the vibroacoustic and hydroacoustic sounds were reduced to 65.9 and 68.6 dB (temporalis–cartilage technique), 63.5 and 63.1 dB (solidified gelatin sponge technique), and 42.4 and 39.2 dB (solidified gelatin sponge–bone wax technique). In conclusion, the current novel biosensing applications and coupled CFD techniques indicate that the sensation of PT correlates with the motion and impact from venous flow, causing vibroacoustic and hydroacoustic sources that transmit via the air-conduction transmission pathway. The transtemporal reconstructive surgical efficacy depends on the established areal density of applied grafts and/or biomaterials, in which the total transmission loss of PT should surpass the amplitude of the measured loudness of PT. Copyright © 2022 Hsieh, Gao, Wang, Hsiang, Sun and Wang.",FALSE,
Our experience in the treatment of vertebrobasilar insufficiency due to cervical spine disorders,Dzhilkashiev B.S.; Antonov G.I.; Chmutin G.E.; Simfukwe K.; Miklashevich E.R.,2021,International Journal of Biology and Biomedical Engineering,10.46300/91011.2021.15.38,"Our experience in the treatment of vertebrobasilar insufficiency due to cervical spine disorders  This article defines vertebra-related causes of vertebrobasilar insufficiency in patients with the signs of tortuosity of segment VI of the VA. The aim of this study is to present the results of diagnostics of discirculatory phenomena in the vertebrobasilar system and to show their importance for differentiated surgical treatment of stenotic lesions of segment V1 of VA in pathological disorders of cerebral circulation in the VBS caused by osteochondrosis of the cervical spine. The following traditional methods are used in diagnostics: Doppler ultrasonography, multispiral computed tomography with contrast enhancement. Also using developed by the author method for determining VA reactivity and circulatory insufficiency in the vertebrobasilar system (VBS). Based on our methodology and criteria, patients were selected for different types of surgical treatment with clinical outcome prediction following interventions on the arteries of the VBS. To determine the pathologies of the intracranial segments of the vertebral and basilar arteries, taking into account the pathways of collateral compensation in the VBS, cerebral angiography is recommended before surgery on the arteries of the VBS. Reconstructive techniques used on segment VI of the VA will predictably show the best long-term clinical results. The excision of a tortuous segment VI of the VA may be effective in obtaining reliable results of successful interventions in the early postoperative period. The conservative treatment of the patients with multiple VBD lesions is possible. early outcomes of their use are satisfactory. © 2021 North Atlantic University Union NAUN. All rights reserved.",FALSE,
Design and Simulation of a 2-Degree of Freedom Energy Harvester from Blood Flow for Powering the Pacemaker,Abdelmawgoud M.; Parque V.; Nada A.; Fath El-Bab A.M.R.,2025,Journal of Robotics and Control (JRC),10.18196/jrc.v6i1.23953,"The pacemaker is a device that is used to treat different abnormal heart rhythms. It is usually powered using traditional batteries. These batteries run out of power after about 7 years, necessitating the replacement of either the pacemaker or its batteries for the patient’s survival. This means that the patient will need to undergo surgery for the replacement process which can compromise the patient’s life and increase the probability of being infected, not to mention the operation cost. To overcome this problem, energy harvesters can be a safer substitute for these traditional batteries since they can convert different forms of energy into electric energy, which can be stored and used when needed. In this paper, a 2-degree-of-freedom (DOF) piezoelectric energy harvester from blood flow is designed and modeled. The harvester is designed as a cut-out beam that is fixed on the pacemaker lead that passes through the Superior Vena Cava (SVC). To protect the harvester from being highly distorted by the blood flow, a plastic barrier is added in front of the harvester from the vein’s inlet side. The harvester consists of three layers, a PZT-5A layer sandwiched between two plastic layers. The harvester is designed to have its first and second natural frequencies between 1Hz and 1.67Hz, the normal frequency range of the human heartbeat. The harvester harvests up to 3.8V which is considered satisfying since the pacemaker usually stimulates the heart using a voltage that ranges from 1V to 10V . This voltage can be used to power the pacemaker and extend its lifetime. The harvester was simulated using ANSYS Workbench Software 2020 R2. On the simulation level, the harvester obtained a maximum output power of 0.81µW at a load of 2.2MΩ. © 2025 Department of Agribusiness, Universitas Muhammadiyah Yogyakarta. All rights reserved.",FALSE,
Nerf: Representing scenes as neural radiance fields for view synthesis,"Mildenhall, Ben and Srinivasan, Pratul P and Tancik, Matthew and Barron, Jonathan T and Ramamoorthi, Ravi and Ng, Ren",2021,Communications of the ACM,"ACM New York, NY, USA","We present a method that represents complex 3D scenes as continuous 5D neural radiance fields, which are functions that output volume density and view-dependent emitted radiance at any spatial location and viewing direction. Our approach, called Neural Radiance Fields (NeRF), optimizes a fully connected deep network to represent the scene by minimizing the error between the rendered views and the input images. This representation enables photorealistic novel view synthesis of complex scenes with intricate geometry and view-dependent effects, outperforming prior state-of-the-art methods. We demonstrate the effectiveness of NeRF on challenging real-world scenes and synthetic datasets, showing its ability to synthesize novel views with high fidelity and fine detail.",FALSE,
An interactive augmented reality software for facial reconstructive surgeries,Guo W.; Forte V.; Davies J.C.; Kahrs L.A.,2024,Computer Methods and Programs in Biomedicine,10.1016/j.cmpb.2023.107970,"Background and Objective: Surgical trainees need a lot of training and practice before being able to operate independently. The current approach of surgical education mainly involves didactic teaching and psychomotor training through physical models or real tissue. Due to the unavailability of physical resources and lack of objective ways of evaluation, there is a demand for developing alternative training methods for surgeons. In this paper, we present an application that provides additional training opportunities to surgical trainees in the field of facial reconstructive surgeries. Methods: We built a mobile augmented reality application that helps the user to visualize important concepts and experiment with different surgical plans for facial reconstructive surgeries. The application can overlay relaxed skin tension lines on a live video input or a patient's photo, which serve as bases for aligning a skin flap. A surgical trainee can interactively compare different skin flap design choices with estimated final scars on a photo of a patient. Data collection capability is also added to the application, and we performed a Monte Carlo experiment with simulated users (five classes of 100 users each) as an example of objectively measuring user performance. Results: The application can overlay relaxed skin tension lines on a patient's face in real time on a modern mobile device. Accurate overlays were achieved in over 91% as well as 84% and 88% out of 263 generated face images, depending on the method. Visual comparisons of the three overlay methods are presented on sample faces from different population groups. From the Monte Carlo experiment, we see that user actions in each class follow a normal distribution with a distinct set of parameters. Conclusions: This application can serve as a basis for teaching surgical trainees the fundamentals of different facial reconstructive procedures, especially concepts related to relaxed skin tension lines and skin flaps. It can objectively evaluate the performance of surgical trainees in a course. This setup focuses on illustrating the relationship between the orientation of skin flaps and relaxed skin tension lines, which is a prerequisite of minimizing scarring in patients in addition to good surgical techniques. © 2023 Elsevier B.V.",FALSE,
Optimal Design and Experiment of Cable-Driven Puncturing Surgery Robot for Soft Needle,Li J.; Jiang Q.,2023,Journal of Medical Devices ,10.1115/1.4056865,"In this paper, a cable-driven puncturing surgery robot named cable-driven puncturing surgery robot (CPSR) is proposed for soft needle. The cable-driven mechanism has lower mass, smaller dimension and smooth transmission. The motor driving the rotational joints is separated using cable, which strengthens the dynamic performance of the robot. A decoupling mechanism based on movable pulley is also proposed to eliminate the cable coupling error. Transmission error of cable-driven mechanism is also analyzed to improve the control accuracy. The simulation of transmission error is completed to optimize the design parameters of cable-driven mechanism. In experiments, the feasibility of the cable decoupling mechanism is validated. Also the insertion error less than 0.7 mm and repeatability less than 2.5 mm are achieved. Finally the reasons limiting the accuracy and corresponding solutions are discussed. In the future research, the shape sensor will be fabricated using optic fiber and mounted on the slim needle which are helpful to complete automated operations with higher accuracy. Copyright © 2023 by ASME.",FALSE,
GOMPS: global attention-based ophthalmic image measurement and postoperative appearance prediction system,"Huang, Xingru and Li, Zhi and Lou, Lixia and Dan, Ruilong and Chen, Lingxiao and Zeng, Guodong and Jia, Gangyong and Chen, Xiaodiao and Jin, Qun and Ye, Juan and others",2023,Expert Systems with Applications,Elsevier,"With the rapid development of ophthalmic surgery, the demand for accurate ophthalmic image measurement and postoperative appearance prediction has increased significantly. In this paper, we propose GOMPS, a global attention-based ophthalmic image measurement and postoperative appearance prediction system. GOMPS integrates a global attention mechanism to effectively capture the spatial dependencies in ophthalmic images, enhancing the accuracy of measurement and prediction tasks. The system employs a novel deep learning framework that combines convolutional neural networks with global attention modules to analyze preoperative images and predict postoperative outcomes. Experimental results on multiple ophthalmic datasets demonstrate that GOMPS outperforms existing methods in both measurement precision and appearance prediction accuracy, providing a valuable tool for clinicians in surgical planning and patient consultation.",FALSE,
