title,author,year,journal,doi,abstract,rejected_by_title_screening,reason_for_title_screening
A pilot study in the application of texture relief for digitally designed facial prostheses,Eggbeer D.; Evans P.L.; Bibb R.,2006,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",10.1243/09544119JEIM38,"This pilot research aims to identify and assess suitable technologies that may be used to capture, create, and produce fine textures and wrinkles that may be incorporated into computer aided prosthesis design and production techniques. A range of suitable technologies is identified and two methods that may be used in different prosthetic rehabilitation situations are assessed: the creation of three-dimensional relief in a computer aided design environment and the capture of facial anatomy and texture using fringe-projection surface scanning. Patterns were produced using the suitable rapid prototyping processes identified, and these were assessed by a qualified and experienced prosthetist. The suitability of the technologies is commented upon, limitations discussed, and future directions identified. © IMechE 2006.",TRUE,"Focuses on technical texture design, not on predicting or evaluating surgery outcomes."
Simulation of heat distribution and thermal damage patterns of diode hair-removal lasers: An applicable method for optimizing treatment parameters,Ataie-Fashtami L.; Shirkavand A.; Sarkar S.; Alinaghizadeh M.; Hejazi M.; Fateh M.; Esmaeeli Djavid G.; Zand N.; Mohammadreza H.,2011,Photomedicine and Laser Surgery,10.1089/pho.2010.2895,"Objective: We simulated the heat distribution and thermal damage patterns of diode hair-removal lasers for different spot sizes, pulse durations, and fluences as a guide for optimization. Background: Recently, the concept of thermal damage time as a reference for pulse duration has become a subject of debate. Methods: Laser-Induced-Temperature-Calculation-In-Tissue (LITCIT) was used for the simulations. Skin was modeled as two homogenous layers of epidermis/dermis and two coaxial cylinders as the hair shaft/ follicle. Opto-thermal coefficients of the components and the radiant parameters of the laser (diode, 810 nm) were defined. Results: At constant fluences and pulse durations, the damage occurred deeper when larger spot sizes were used. At constant pulse duration, high fluences caused significant damage to the hair follicle and epidermis. By using longer pulse durations (≤400 ms) at constant fluences, there was more effective damage to the hair follicle while sparing the adjacent epidermis and dermis. Because of the time-dependent temperature profiles, an increased pulse duration creates a moderate, gradual rise in the target's temperature. Pulse durations >400 ms are accompanied by unwanted dermis damage. Conclusions: Our results show that using very long pulse durations near the tissue damage time (≤400 ms) creates better efficacy in treating unwanted hairs while avoiding unwanted damage. © Copyright 2011, Mary Ann Liebert, Inc. 2011.",TRUE,"Focuses on laser hair removal, not on predicting or evaluating surgery results."
Influence of halogen irradiance on short- and long-term wear resistance of resin-based composite materials,Bhamra G.S.; Fleming G.J.P.,2009,Dental Materials,10.1016/j.dental.2008.06.007,"Objective: The Oregon Health Science University (OHSU) four-chamber oral wear simulator was used to examine the impact of halogen irradiance on the short- and long-term wear behavior of four-methacrylate resin-based composites (RBCs). The hypothesis proposed was that exacerbated wear would occur following the long-term wear of RBCs irradiated under non-optimized irradiance conditions. Methods: Disc-shaped specimens (12.0 ± 0.1 mm diameter and 2.0 ± 0.1 mm height) of each RBC were prepared at irradiances of 650 ± 14, 530 ± 8, 420 ± 14, 350 ± 8, 270 ± 8, 230 ± 14, 190 ± 8, and 150 ± 8 mW/cm2, respectively. Short-term three-body wear simulation was carried out for 50,000 cycles and long-term was performed up to 500,000 cycles. The wear facets were analyzed using a non-contact optical profilometer. One-, two-, and three-way analyses of variance (ANOVA) were made at P = 0.05, guided as necessary by Tukeys correction in multiple partial analyses of the mean total volumetric wear and mean maximum wear depth. Results: For the short-term wear resistance, the two-way ANOVA identified no significant difference in the mean total volumetric wear (P = 0.188) although the mean total wear depth was identified to be significant (P = 0.024). The long-term wear resistance for the mean total volumetric wear identified significant differences for each RBC at varying irradiances with the number of cycles but not for the mean maximum wear depth. Significance: The increased number of ploughing actions of the antagonist on the RBC (long-term) results in increased friction which would be expected to play a major role in the wear process. The significant increase in the mean total volumetric wear, but not the mean maximum wear depth, observed over time which is exacerbated at reduced halogen irradiances emphasizes the arguments of DeLong for the employment of volume for evaluating material loss due to wear following in vitro wear simulation of RBCs. © 2008 Academy of Dental Materials.",TRUE,"Covers dental material durability, not surgery results prediction."
Prediction of permanent deformation in cast clasps for denture prostheses using a validated nonlinear finite element model,Mahmoud A.A.A.; Wakabayashi N.; Takahashi H.,2007,Dental Materials,10.1016/j.dental.2005.10.012,"Objectives: Permanent deformation is one of the most common mechanical complications that affect denture clasps. This can lead to loss of retention and stability of the prosthesis. The purpose of this study was to apply and validate a nonlinear finite element model for permanent deformation prediction in cast denture clasps. Such a model can enhance the process of design optimization and contribute to minimizing the possibility of this problem. Methods: Cast clasps made from Ti-6Al-7Nb, Co-Cr and Type IV gold alloys were loaded in three different directions (outside, inside and outside inclined 30°), and the resulting permanent deformation values were recorded. Nonlinear finite element analysis simulations based on the maximum distortion energy criterion for yielding, were conducted for clasp models that were reproduced according to the dimensions of each experimental specimen. Linear regression analysis for the results of the experiment and simulation was performed to verify the validity of the mathematical models. Results: Deflections required to produce specific amounts of permanent deformation were in close agreement with those recorded experimentally. The R2 value for all bending tests was 0.985 and the linear regression equation expressed in micrometers was [DeflectionFEA = 0.976 (DeflectionReal) + 34]. Significance: Permanent deformation behavior in the cast clasps with a relatively wide range of deflections (0-2 mm) can be predicted using the proposed model, which shall enhance the design optimization process of cast clasps for denture prostheses. © 2006 Academy of Dental Materials.",TRUE,"Deals with dental stuff, not surgery aesthetics."
Modeling the mechanical response of in vivo human skin under a rich set of deformations,Flynn C.; Taberner A.; Nielsen P.,2011,Annals of Biomedical Engineering,10.1007/s10439-011-0292-7,"Determining the mechanical properties of an individual's skin is important in the fields of pathology, biomedical device design, and plastic surgery. To address this need, we present a finite element model that simulates the skin of the anterior forearm and posterior upper arm under a rich set of three-dimensional deformations. We investigated the suitability of the Ogden and Tong and Fung strain energy functions along with a quasi-linear viscoelastic law. Using non-linear optimization techniques, we found material parameters and in vivo pre-stresses for different volunteers. The model simulated the experiments with errors-of-fit ranging from 13.7 to 21.5%. Pre-stresses ranging from 28 to 92 kPa were estimated. We show that using only in-plane experimental data in the parameter optimization results in a poor prediction of the out-of-plane response. The identifiability of the model parameters, which are evaluated using different determinability criteria, improves by increasing the number of deformation orientations in the experiments. © 2011 Biomedical Engineering Society.",TRUE,"Focuses on skin mechanics, not on predicting or evaluating surgery aesthetics."
Modelling of experimentally created partial-thickness human skin burns and subsequent therapeutic cooling: A new measure for cooling effectiveness,Van de Sompel D.; Kong T.Y.; Ventikos Y.,2009,Medical Engineering and Physics,10.1016/j.medengphy.2008.11.016,"Rapid post-injury cooling of a skin burn has been shown to have both symptomatic and therapeutic benefits. However, the latter cannot be explained by temperature reduction alone, and must thus be secondary to an altered biological response. In this study, we construct a computational model to calculate the heat transfer and damage accumulation in human skin during and after a burn. This enables us to assess the effectiveness of various cooling protocols (involving both free and forced convection to air and water respectively) in terms of their reduction in Arrhenius tissue damage. In this process, we propose an extension of the Arrhenius damage model in the form of a new measure ξ, which estimates the relevance of post-burn accrued damage. It was found that the reduction in Arrhenius damage integrals near the skin surface was too small to be physiologically relevant. Hence our results confirm that while the reduction in tissue temperatures is indeed quicker, the therapeutic benefit of cooling cannot be explained by thermal arguments (i.e. based on Arrhenius damage models) alone. We plan to validate this hypothesis by conducting future microarray analyses of differential gene expression in cooled and non-cooled burn lesions. Our computational model will support such experiments by calculating the necessary conditions to produce a burn of specified severity for a given experimental setup. © 2008 IPEM.",TRUE,"Focuses on burns and cooling, not surgery outcome prediction."
Mathematical modeling of laser lipolysis,Mordon S.R.; Wassmer B.; Reynaud J.P.; Zemmouri J.,2008,BioMedical Engineering Online,10.1186/1475-925X-7-10,"Background and Objectives: Liposuction continues to be one of the most popular procedures performed in cosmetic surgery. As the public's demand for body contouring continues, laser lipolysis has been proposed to improve results, minimize risk, optimize patient comfort, and reduce the recovery period. Mathematical modeling of laser lipolysis could provide a better understanding of the laser lipolysis process and could determine the optimal dosage as a function of fat volume to be removed. Study design/Materials and Methods: An Optical-Thermal-Damage Model was formulated using finite-element modeling software (Femlab 3.1, Comsol Inc). The general model simulated light distribution using the diffusion approximation of the transport theory, temperature rise using the bioheat equation and laser-induced injury using the Arrhenius damage model. Biological tissue was represented by two homogenous regions (dermis and fat layer) with a nonlinear air-tissue boundary condition including free convection. Video recordings were used to gain a better understanding of the back and forth movement of the cannula during laser lipolysis in order to consider them in our mathematical model. Infrared video recordings were also performed in order to compare the actual surface temperatures to our calculations. The reduction in fat volume was determined as a function of the total applied energy and subsequently compared to clinical data reported in the literature. Results: In patients, when using cooled tumescent anesthesia, 1064 nm Nd:YAG laser or 980 nm diode laser: (6 W, back and forth motion: 100 mm/s) give similar skin surface temperature (max: 41°C). These measurements are in accordance with those obtained by mathematical modeling performed with a 1 mm cannula inserted inside the hypodermis layer at 0.8 cm below the surface. Similarly, the fat volume reduction observed in patients at 6-month follow up can be determined by mathematical modeling. This fat reduction depends on the applied energy, typically 5 cm3 for 3000 J. At last, skin retraction was observed in patients at 6-month follow up. This observation can be easily explained by mathematical modeling showing that the temperature increase inside the lower dermis is sufficient (48-50°C) to induce skin tightening Discussion and Conclusion: Laser lipolysis can be described by a theoretical model. Fat volume reduction observed in patients is in accordance with model calculations. Due to heat diffusion, temperature elevation is also produced inside the lower reticular dermis. This interesting observation can explain remodeling of the collagenous tissue, with clinically evident skin tightening. In conclusion, while the heat generated by interstitial laser irradiation provides stimulate lipolysis of the fat cells, the collagen and elastin are also stimulated resulting in a tightening in the skin. This mathematical model should serve as a useful tool to simulate and better understand the mechanism of action of the laser lipolysis. © 2008 Mordon et al; licensee BioMed Central Ltd.",TRUE,"Focuses on math models, not on predicting or evaluating looks."
An improved 3DRP PET image reconstruction method with rebinned direct image estimate,Jeng W.-M.; Wang H.-H.,2006,"Biomedical Engineering - Applications, Basis and Communications",10.4015/S1016237206000373,NOT_FOUND_IN_BIB.,TRUE,No abstract; title doesn't match plastic or cancer surgery predictions.
Growth on demand: Reviewing the mechanobiology of stretched skin,Zöllner A.M.; Holland M.A.; Honda K.S.; Gosain A.K.; Kuhl E.,2013,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2013.03.018,"Skin is a highly dynamic, autoregulated, living system that responds to mechanical stretch through a net gain in skin surface area. Tissue expansion uses the concept of controlled overstretch to grow extra skin for defect repair in situ. While the short-term mechanics of stretched skin have been studied intensely by testing explanted tissue samples ex vivo, we know very little about the long-term biomechanics and mechanobiology of living skin in vivo. Here we explore the long-term effects of mechanical stretch on the characteristics of living skin using a mathematical model for skin growth. We review the molecular mechanisms by which skin responds to mechanical loading and model their effects collectively in a single scalar-valued internal variable, the surface area growth. This allows us to adopt a continuum model for growing skin based on the multiplicative decomposition of the deformation gradient into a reversible elastic and an irreversible growth part. To demonstrate the inherent modularity of this approach, we implement growth as a user-defined constitutive subroutine into the general purpose implicit finite element program Abaqus/Standard. To illustrate the features of the model, we simulate the controlled area growth of skin in response to tissue expansion with multiple filling points in time. Our results demonstrate that the field theories of continuum mechanics can reliably predict the manipulation of thin biological membranes through mechanical overstretch. Our model could serve as a valuable tool to rationalize clinical process parameters such as expander geometry, expander size, filling volume, filling pressure, and inflation timing to minimize tissue necrosis and maximize patient comfort in plastic and reconstructive surgery. While initially developed for growing skin, our model can easily be generalized to arbitrary biological structures to explore the physiology and pathology of stretch-induced growth of other living systems such as hearts, arteries, bladders, intestines, ureters, muscles, and nerves. © 2013 Elsevier Ltd.",TRUE,"Talks about skin growth modeling, not surgery aesthetics prediction."
Development of a virtual simulator for planning mandible osteotomies in orthognathic surgeries,Govea-Valladares E.H.; Medellín-Castillo H.I.; Lim T.; Khambay B.; Rodríguez-Florido M.; Ballesteros J.,2012,Revista Mexicana de Ingenieria Biomedica,,NOT_FOUND_IN_BIB.,TRUE,Missing abstract; title unclear on topic.
Thermal damage patterns of diode hair-removal lasers according to various skin types and hair densities and colors: A simulation study,Shirkavand A.; Ataie-Fashtami L.; Sarkar S.; Alinaghizadeh M.R.; Fateh M.; Zand N.; Djavid G.E.,2012,Photomedicine and Laser Surgery,10.1089/pho.2011.3152,"Background and objective: It is important to prevent unwanted side effects of diode hair-removal lasers especially in dark skin tones. This study simulates the thermal damage patterns caused by diode hair-removal lasers in different skin types, hair colors, and hair densities. Materials and methods: LITCIT software has been used with the tissue modeled as two components, the skin and the hair. The absorption coefficients of various skin types (f mel=5%, 10%, 15%, and 20%), laser parameters, and optothermal properties of tissue were inputs. Results: For all skin types there was a significant unwanted thermal damage to the epidermis as a result of fluence increase. Using longer pulse durations is accompanied by effective thermal damage to the hair follicle, while preserving the epidermis in skin types II and III, an effect not achieved in darker skins. Regardless of pulse duration, when the distance between hair follicles is ≤0.5 mm, there is a significant increase in thermal damage to interfollicular epidermis with high fluences compared with lower hair densities (interfollicular space≥1 mm). In lighter hairs, while using longer pulse durations, higher fluences are needed in order to obtain the same level of thermal damage in the hair follicle as shorter pulse widths. Conclusions: In lighter skin types, lengthening the pulse duration of diode lasers (up to 400 ms) increases efficacy while preserving epidermis from unwanted thermal damage. However, it is necessary to use lower fluences while using longer pulse duration to avoid irreversible thermal damage to epidermis in darker tones, as is also true for locations with higher hair densities. © 2012 Mary Ann Liebert, Inc.",TRUE,"Focuses on laser hair removal damage, not surgery outcome prediction."
Simulation of color perception of layered dental composites using optical properties to evaluate the benefit of esthetic layer preparation technique,Friebel M.; Pernell O.; Cappius H.-J.; Helfmann J.; Meinke M.C.,2012,Dental Materials,10.1016/j.dental.2011.11.017,"Objectives: Esthetic restorations require that dental restorative materials have similar optical properties to teeth. To improve the color perception, the inhomogeneous morphology of the native tooth can be imitated by layering two optically different restorative materials. However until now the benefit of this method has not been satisfactorily demonstrated. Methods: The optical parameters, absorption coefficient μa, scattering coefficient μs, anisotropy factor g and effective scattering coefficient μ′s, were determined for the enamel and dentin material of the restorative material systems Artemis® and Herculite XRV®. This was carried out for each material system in the wavelength range between 400 and 700 nm using integrating sphere measurements followed by inverse Monte Carlo simulations. Results: Using the optical parameters and a forward Monte Carlo simulation, the color perception of layered samples could be predicted with a sufficient degree of accuracy. The total color impression was shown to be dependent on the sample thickness and the transparency/translucency of the single layers of enamel and dentin materials. Conclusion: The study demonstrated that the use of two materials is well-suited for the restoration of front teeth with their relatively high proportion of enamel. This study will continue further with the compilation of a data pool of optical parameters which will enable the application of calculation models to optimize the optical approximation of the natural tooth. © 2011 Academy of Dental Materials. Published by Elsevier Ltd. All rights reserved.",TRUE,"Deals with dental materials, not surgery outcomes."
Rapid prototyping assisted surgery planning and custom implant design,Singare S.; Lian Q.; Wang W.P.; Wang J.; Liu Y.; Li D.; Lu B.,2009,Rapid Prototyping Journal,10.1108/13552540910925027,"Purpose - This paper aims to describe computer-aided design and rapid prototyping (RP) systems for the preoperative planning and fabrication of custom-made implant. Design/methodology/approach - A patient with mandible defect underwent reconstruction using custom-made implant. 3D models of the patient's skull are generated based on computed tomography image data. After evaluation of the 3D reconstructed image, it was identified that some bone fragment was moved due to the missing segment. During the implant design process, the correct position of the bone fragment was defined and the geometry of the custom-made implant was generated based on mirror image technique and is fabricated by a RP machine. Surgical approach such as preoperative planning and simulation of surgical procedures was performed using the fabricated skull models and custom-made implant. Findings - Results show that the stereolithography model provided an accurate tool for preoperative, surgical simulation. Research limitations/implications - The methods described above suffer from the expensive cost of RP technique. Practical implications - This method allows accurate fabrication of the implant. The advantages of using this technique are that the physical model of the implant is fitted on the skull model so that the surgeon can plan and rehearse the surgery in advance and a less invasive surgical procedure and less time-consuming reconstructive and an adequate esthetic can result. Originality/value - The method improves the reconstructive surgery and reduces the risk of a second intervention, and the psychological stress of the patient will be eliminated. © Emerald Group Publishing Limited.",TRUE,"Focuses on surgical planning, not on predicting or evaluating aesthetics."
Empirical relationship between lengthening an anterior cruciate ligament graft and increases in knee anterior laxity: A human cadaveric study,Grover D.; Thompson D.; Hull M.L.; Howell S.M.,2006,Journal of Biomechanical Engineering,10.1115/1.2378931,"Lengthening of an anterior cruciate ligament (ACL) graft construct can occur as a result of lengthening at the sites of tibial and/or femoral fixation and manifests as an increase in anterior laxity. Although lengthening at the site of fixation has been measured for a variety of fixation devices, it is difficult to place these results in a clinical context because the mathematical relationship between lengthening of an ACL graft construct and anterior laxity is unknown. The purpose of our study was to determine empirically this relationship. Ten cadaveric knees were reconstructed with a double-looped tendon graft. With the knee in 25° of flexion, the position of the proximal end of the graft inside the femoral tunnel was adjusted by moving the femoral fixation device until the anterior laxity at an applied anterior force of 134 N matched that of the intact knee. In random order, the graft construct was lengthened 1, 2, 3, 4, and 5 mm by moving the femoral fixation device distally along the femoral tunnel and anterior laxity was measured. The increase in the length of the graft construct was related to the increase in anterior laxity by a simple linear regression model. Lengthening the graft construct from 1 to 5 mm caused an equal increase in anterior laxity (slope = 1.0 mm/mm, r2=0.800, p<0.0001). Because an anterior laxity increase of 3 mm or greater in a reconstructed knee is considered unstable clinically and because many fixation devices in widespread use clinically allow 3 mm or greater of lengthening in in vitro tests, our empirical relationship indicates that lengthening at the site of fixation probably is an important cause of knee instability following ACL reconstructive surgery. Our empirical relation also indicates that an important criterion in the design of future fixation devices is that lengthening at the sites affixation in in vitro tests should be limited to less than 3 mm. Copyright © 2006 by ASME.",TRUE,"Focuses on ACL biomechanics, not on predicting or evaluating cosmetic surgery results."
Grid simulation services for the medical community,Berti G.; Lonsdale G.; Schmidt J.G.; Benkner S.; Hose D.R.; Fenner J.W.; Jones D.M.; Middleton S.E.; Wollny G.,2008,International Journal of Computational Methods,10.1142/S0219876208001479,"The first part of this paper presents a selection of medical simulation applications, including image reconstruction, near-real-time registration for neuro-surgery, enhanced dose distribution calculation for radiotherapy, inhaled drug delivery prediction, plastic surgery planning and cardio-vascular system simulation. The latter two topics are discussed in some detail. In the second part, we show how such services can be made available to the clinical practitioner using grid technology. We discuss the developments made and the experience gained during the EU project GEMSS, which provides reliable, efficient, secure and lawful medical grid services. © 2008 World Scientific Publishing Company.",TRUE,"Focuses on medical simulation, not on automatic aesthetic outcome prediction."
Biomechanical comparison of three second-generation reconstruction nails in an unstable subtrochanteric femur fracture model,Heiney J.; Battula S.; Njus G.; Ruble C.; Vrabec G.,2008,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",10.1243/09544119JEIM369,"The purpose of this study is to determine if a biomechanical difference exists in dynamic stiffness, fatigue life, and fracture site displacement by comparing three cephalomedullary reconstruction nails. An examination was made of the Biomet Uniflex reconstruction nail, the Biomet Vector nail, and the Stryker Howmedica Long Gamma nail in the fixation of an unstable subtrochanteric femur fracture model, using a synthetic bone model. Mean stiffness for each nail was initially determined in control specimens (i.e. no fracture and no instrumentation). The nail stiffness values were 1764.0N/mm (controls), 373.61N/mm (Uniflex), 294.27N/mm (vector), and 656.36N/mm (Gamma). The Gamma was statistically stiffer than the Uniflex and Vector (p<0.002). Mean fatigue life measurements were: Uniflex at 52 891 cycles, failing at the most distal of the proximal two screw holes; Vector at 45 344 cycles, failing in the nail at the level of the fracture site; Gamma at 88 748 cycles failing at the lag screw hole. The p value between the Gamma and Vector was less than 0.01 and between Gamma and Uniflex was less than 0.05. The mean maximal axial displacement at the fracture site was 2.448 mm, 2.305 mm, and 0.790 mm for the Uniflex, Vector and Gamma, respectively. The p value between the Gamma and the other nails was <0.01. The mean maximal transverse displacement at the fracture site was 1.223 mm, 1.197 mm, and 0.280 mm respectively. The p value between the Long Gamma and the other two nails was <0.01. In conclusion, the Long Gamma nail demonstrated statistically significant fixation superiority in stiffness, resistance to fatigue, and fracture site displacement compared to the Uniflex and Vector nails. This biomechanical information may aid in choosing implants for fixation of unstable, subtrochanteric femur fractures. © IMechE 2008.",TRUE,"Focuses on bone implant tests, not on predicting or evaluating surgery looks."
Modeling the forces of cutting with scissors,Mahvash M.; Voo L.M.; Kim D.; Jeung K.; Wainer J.; Okamura A.M.,2008,IEEE Transactions on Biomedical Engineering,10.1109/TBME.2007.908069,"Modeling forces applied to scissors during cutting of biological materials is useful for surgical simulation. Previous approaches to haptic display of scissor cutting are based on recording and replaying measured data. This paper presents an analytical model based on the concepts of contact mechanics and fracture mechanics to calculate forces applied to scissors during cutting of a slab of material. The model considers the process of cutting as a sequence of deformation and fracture phases. During deformation phases, forces applied to the scissors are calculated from a torque-angle response model synthesized from measurement data multiplied by a ratio that depends on the position of the cutting crack edge and the curve of the blades. Using the principle of conservation of energy, the forces of fracture are related to the fracture toughness of the material and the geometry of the blades of the scissors. The forces applied to scissors generally include high-frequency fluctuations. We show that the analytical model accurately predicts the average applied force. The cutting model is computationally efficient, so it can be used for real-time computations such as haptic rendering. Experimental results from cutting samples of paper, plastic, cloth, and chicken skin confirm the model, and the model is rendered in a haptic virtual environment. © 2006 IEEE.",TRUE,Models scissor cutting forces but skips predicting or evaluating surgery aesthetics—out of scope.
Constitutive models for constrained compression of unimpacted and impacted human morselized bone grafts,Lunde K.B.; Foss O.A.; Fosse L.; Skallerud B.,2008,Journal of Biomechanical Engineering,10.1115/1.2979878,"Morselized corticocancellous bone (MCB) is widely used in revision surgery with and without impaction. In the current study material parameters for the nonlinear viscoelastic and plastic responses of impacted and unimpacted human MCBs were determined during constrained compression. These models may be useful in finite element analyses of surgical constructs involving impacted and unimpacted MCBs. MCB is impacted layer by layer in the femoral canal during revision surgery. The influence of different layers on the mechanical properties was therefore also examined by comparing the relaxation strength and elastic and plastic strains for bone pellets impacted in one and two layers during constrained compression of human MCB. The relaxation strength was found to increase significantly by 14% for two layer pellets compared to one layer pellets, and the plastic strains decreased significantly by 15%, while the elastic strains were similar. Copyright © 2008 by ASME.",TRUE,"Focuses on bone biomechanics, not on predicting or evaluating aesthetic outcomes in surgery."
Custom implant design for patients with cranial defects,Lee M.-Y.; Chang C.-C.; Lin C.-C.; Lo L.-J.; Chen Y.-R.,2002,IEEE Engineering in Medicine and Biology Magazine,10.1109/MEMB.2002.1000184,NOT_FOUND_IN_BIB.,TRUE,No abstract and unclear fit with automatic prediction in surgery from title alone.
Analysis of thermal stress in cryosurgery of kidneys,He X.; Bischof J.C.,2005,Journal of Biomechanical Engineering,10.1115/1.1934021,"In this study, the thermal stress distribution in cryosurgery of kidney was investigated using a multiphysics finite element model developed in ANSYS (V8.1). The thermal portion of the model was verified using experimental data and the mechanics portion of the model (elastic) was verified using classic analytical solutions. Temperature dependent thermal and mechanical properties were used in the model. Moreover, the model accounts for thermal expansion due to both thermal expansion in single phase and volumetric expansion associated with phase change of tissue water to ice. For a clinical cylindrical cryoprobe inserted into the renal cortex from the top-middle renal capsule, it was found that the thermal stress distributions along the radial position are very different at different depths from the top renal capsule. The thermal stress is much higher at both ends than in the middle of the cryoprobe surface. It was found that there might be more tissue next to the top renal capsule than other region undergoing microcrack formation or plastic deformation. Furthermore, it was found that macrocrack formation is more likely to occur in tissue adjacent to the cryoprobe surface (especially on the sharp point tip) and during the thawing phase of cryosurgery. It was further found that the volumetric expansion associated with phase change induced much higher thermal stress than thermal expansion in a single phase and might therefore be the main cause of the frequently observed crack formation shortly after initiation of thawing in cryosurgery. Because the thermal stress adjacent to the cryoprobe is much higher than the yield stress of frozen renal tissue, a plastic stress model is required for better modeling of the thermal stress distribution in cryosurgery of kidney in future. However the computational effort will then be drastically increased due to the strong nonlinear nature of the plastic model and more experimental studies are indispensable for better understanding of the mechanical behavior of frozen tissue in cryosurgery. Copyright © 2005 by ASME.",TRUE,"Covers kidney cryosurgery heat modeling, not surgery aesthetics prediction."
Determination of optimal graft lengths for posterior cruciate ligament reconstruction - A theoretical analysis,Li G.; DeFrate L.; Suggs J.; Gill T.,2003,Journal of Biomechanical Engineering,10.1115/1.1554409,NOT_FOUND_IN_BIB.,TRUE,Title doesn’t connect graft lengths to automatic prediction or aesthetic outcomes.
A three-dimensional finite element stress analysis for tunnel placement and buttons in anterior cruciate ligament reconstructions,Au A.G.; Raso V.J.; Liggins A.B.; Otto D.D.; Amirfazli A.,2005,Journal of Biomechanics,10.1016/j.jbiomech.2004.05.007,"This communication reports the results of a three-dimensional finite element (FE) model of stresses in a surgically altered femur and tibia. The model incorporated a novel approach in implementing orthotropic and inhomogeneous bone properties and non-uniform distributed loading. Cortical, cancellous, and subchondral bone of the femur and the tibia were modeled. Mechanical properties for the cortical and cancellous bone were mapped from published data characterizing the anisotropy and inhomogeneity of the bone properties. Mesh adequacy was determined using stress convergence and strain energy error convergence. Qualitatively, the results of the study compare well with experimental principal compressive strains from the literature. With respect to tunnel placement in anterior cruciate ligament reconstruction, the model predicted stress-shielding at the postero-lateral region of the tunnel wall, and increased stress at the postero-medial region of the tunnel wall. The stresses in the cancellous bone beneath the tunnel were, in general, lower than those above the tunnel. Prolonged stress shielding leads to bone resorption of the posterior tunnel wall leading to tunnel enlargement, and possible compromise of the ACL reconstruction. The stresses on the femoral cortex produced from a button-type fixation were noticeable for low levels of loading; the stress levels were very similar in models incorporating bone properties of patients aged 45 and 65. Repeated compression of the femoral cortex at these stress levels may cause microdamage to the cortex eventually resulting in fatigue failure. © 2004 Elsevier Ltd. All rights reserved.",TRUE,"Focuses on biomechanics in ortho, not on predicting or assessing aesthetics in plastic or cancer surgery."
Development of simulated pigmented lesions in an optical skin-tissue phantom: Experimental measurements in the visible and near infrared,Lualdi M.; Colombo A.; Mari A.; Tomatis S.; Marchesini R.,2002,Journal of Laser Applications,10.2351/1.1475339,NOT_FOUND_IN_BIB.,TRUE,Abstract missing; relevance to surgical outcome prediction unclear.
Towards virtual humans in medicine: A prospective view,Thalmann N.M.; Thalmann D.,1994,Computerized Medical Imaging and Graphics,10.1016/0895-6111(94)90018-3,NOT_FOUND_IN_BIB.,TRUE,Missing abstract; unclear fit from title.
Evolution of virtual reality: From planning to performing surgery,Rosen J.M.; Soltanian H.; Redett R.J.; Laub D.R.,1996,IEEE Engineering in Medicine and Biology Magazine,10.1109/51.486713,NOT_FOUND_IN_BIB.,TRUE,No abstract and title unclear about fit with surgery outcome prediction.
Human face representation by means of polynomial expansion of the harmonic descriptors of tomograms,Morasso P.; Ruggiero C.,1990,Computerized Medical Imaging and Graphics,10.1016/0895-6111(90)90038-D,NOT_FOUND_IN_BIB.,TRUE,No abstract and unclear fit from title about surgery predictions.
A computational skin model: Fold and wrinkle formation,Magnenat-Thalmann N.; Kalra P.; Lévêque J.L.; Bazin R.; Batisse D.; Querleux B.,2002,IEEE Transactions on Information Technology in Biomedicine,10.1109/TITB.2002.806097,NOT_FOUND_IN_BIB.,TRUE,"No abstract, title doesn’t clearly show relevance."
Virtual surgery brings back smiles,Sheppard L.M.,2005,IEEE Computer Graphics and Applications,10.1109/MCG.2005.26,NOT_FOUND_IN_BIB.,TRUE,No abstract; title doesn’t clearly show the topic.
The application of design methods in medical modelling and reconstructive surgery,Bibb R.; Lewis A.; Brown R.,2000,Annual International Conference of the IEEE Engineering in Medicine and Biology - Proceedings,10.1109/IEMBS.2000.901339,NOT_FOUND_IN_BIB.,TRUE,No abstract; unclear fit from title.
Computer aided osteotomy design for harvesting autologous bone grafts in reconstructive surgery,Kro�l Z.; Zerfass P.; Von Rymon-Lipinski B.; Jansen T.; Hauck W.; Zeilhofer H.-F.; Sader R.; Keeve E.,2001,Proceedings of SPIE - The International Society for Optical Engineering,10.1117/12.428062,"Autologous grafts serve as the standard grafting material in the treatment of maxillofacial bone tumors, traumatic defects or congenital malformations. The pre-selection of a donor site depends primarily on the morphological fit of the available bone mass and the shape of the part that has to be transplanted. To achieve sufficient incorporation of the autograft into the host bone, precise planning and simulation of the surgical intervention based on three-dimensional CT studies is required. This paper presents a method to identify an optimal donor site by performing an optimization of appropriate similarity measures between donor region and a given transplant. At the initial stage the surgeon has to delineate the osteotomy border lines in the template CT data set and to define a set of constraints for the optimization task in the donor site CT data set. The following fully automatic optimization stage delivers a set of sub-optimal and optimal donor sites for a given template. All generated solutions can be explored interactively on the computer display using an efficient graphical interface. Reconstructive operations supported by our system were performed on 28 patients. We found that the operation time can be considerably shortened by this approach.",TRUE,"Focuses on surgical planning, not on predicting or evaluating aesthetics."
