title,author,year,journal,doi,abstract,rejected_by_abstract_screening,reason_for_abstract_screening
Polydioxanone Membrane for Guided Conjunctival Tissue Reconstruction: An Experimental Model in Rabbits,da Gama D.D.; Martines G.; Rigueiro M.; Cruz M.; Schor P.,2025,Translational Vision Science and Technology,Association for Research in Vision and Ophthalmology Inc.,"Purpose: To evaluate the efficacy of polydioxanone (PDO) membrane as a scaffold for guided conjunctival tissue reconstruction in an experimental rabbit model. Methods: A total of 24 rabbits underwent conjunctival defect creation in the right eye, followed by reconstruction using PDO membrane in the experimental group and autologous conjunctival graft in the control group. Clinical evaluations and histological analyses were performed at 1, 2, and 4 weeks postoperatively to assess epithelialization, inflammation, and fibrosis. Results: The PDO membrane group demonstrated complete epithelialization by 2 weeks, comparable to the control group. Histological examination revealed minimal inflammatory response and organized collagen deposition in the PDO group, indicating favorable tissue integration. No significant differences in fibrosis or neovascularization were observed between groups. Conclusions: The PDO membrane serves as an effective scaffold for conjunctival tissue regeneration, promoting rapid epithelialization and minimal inflammation in a rabbit model. Translational Relevance: PDO membrane may offer a promising alternative for conjunctival reconstruction in clinical settings, potentially reducing donor site morbidity and surgical complexity.",TRUE,"Explores tissue reconstruction in rabbits but doesn’t cover automatic prediction or assessment of aesthetic results in plastic or cancer surgery, so it’s not a fit for this review."
Evaluation of a Bioabsorbable Scaffold and Interlocked Nail System for Segmental Bone Defect,Khandaker M.; Lane R.; Yeakley S.; Alizereej H.; Nikfarjam S.; Ait Moussa A.; Vaughan M.B.; Haleem A.M.,2023,Journal of Functional Biomaterials,Multidisciplinary Digital Publishing Institute (MDPI),"Segmental bone defects remain a significant clinical challenge due to the limited ability of bone to regenerate over large gaps. This study evaluates a novel bioabsorbable scaffold combined with an interlocked nail system designed to support bone regeneration in segmental defects. The scaffold, fabricated from a composite of bioabsorbable polymers and osteoconductive materials, was implanted in a critical-sized segmental defect model in vivo. The interlocked nail system provided mechanical stability while allowing for gradual load transfer to the regenerating bone. Outcomes were assessed through radiographic imaging, histological analysis, and biomechanical testing over a 12-week period. Results demonstrated enhanced bone formation within the scaffold and successful integration with host bone, with the interlocked nail maintaining defect stability throughout the healing process. This combined approach shows promise for improving the treatment of segmental bone defects by facilitating bone regeneration and providing necessary mechanical support.",TRUE,"Focuses on bone regeneration with bioabsorbable scaffolds and stabilization but doesn't cover automatic prediction or aesthetic outcome evaluation in plastic or cancer surgery, so it doesn't fit the review's focus."
Impacts of video communication on psychological well-being and cosmetic surgery acceptance,Chen Y.; Zhou S.,2023,Computers in Human Behavior,Elsevier Ltd,"This study investigates the impacts of video communication on psychological well-being and cosmetic surgery acceptance. With the rise of video-based interactions, especially during the COVID-19 pandemic, individuals have become more exposed to their own image, potentially influencing self-perception and attitudes toward cosmetic procedures. The research examines how increased video communication correlates with body image concerns, self-esteem, and the willingness to undergo cosmetic surgery. Findings suggest that frequent video communication can heighten self-scrutiny and dissatisfaction with appearance, thereby increasing acceptance of cosmetic surgery as a means to improve self-image. The study highlights the psychological implications of video communication technologies and their role in shaping attitudes toward cosmetic enhancements.",TRUE,"Focuses on psychological effects and opinions about cosmetic surgery instead of predicting or assessing aesthetic results, which falls outside the review’s main topic."
Treatment of Medication-Related Osteonecrosis of the Jaw Without and With the Use of Advanced Platelet-Rich Fibrin: A Retrospective Clinical Study,Adamska P.; Stasiak M.; Kobusińska N.; Bartmański M.; Zedler A.; Studniarek M.,2025,Journal of Functional Biomaterials,Multidisciplinary Digital Publishing Institute (MDPI),"Medication-related osteonecrosis of the jaw (MRONJ) is a serious complication in patients treated with antiresorptive or antiangiogenic agents. The aim of this retrospective clinical study was to evaluate the efficacy of advanced platelet-rich fibrin (A-PRF) in the treatment of MRONJ. Forty patients with MRONJ were divided into two groups: group A (n = 20) treated with surgical debridement and primary closure, and group B (n = 20) treated with surgical debridement, A-PRF application, and primary closure. The primary outcome was complete mucosal healing without signs of infection or exposed bone at 3 months postoperatively. Secondary outcomes included pain reduction and quality of life improvement. The results showed that group B had a significantly higher rate of complete healing (85%) compared to group A (60%) (p < 0.05). Additionally, patients in group B reported greater pain relief and improved quality of life scores. The use of A-PRF in the surgical management of MRONJ appears to enhance healing outcomes and patient comfort. Further prospective studies with larger sample sizes are warranted to confirm these findings.",TRUE,"Focuses on treatment results for a jaw condition without discussing automatic prediction or assessment of looks, which doesn't match the review's focus."
Towards inferring positioning of straight cochlear-implant electrode arrays during insertion using real-time impedance sensing,"Riojas K.E.; Bruns T.L.; Granna J.; Smetak M.R.; Labadie R.F.; Webster R.J., III",2024,International Journal of Medical Robotics and Computer Assisted Surgery,John Wiley and Sons Ltd,"Real-time impedance sensing during cochlear implant (CI) electrode array insertion has the potential to provide valuable information about the position of the electrode array within the cochlea. This study investigates the feasibility of using impedance measurements to infer the positioning of straight CI electrode arrays during insertion. A computational model of the cochlea and electrode array was developed to simulate impedance changes associated with different electrode positions. Experimental validation was performed using a physical cochlear model and a commercial CI electrode array. Results demonstrate that impedance measurements vary systematically with electrode position, enabling differentiation between scala tympani and scala vestibuli placements as well as detection of electrode array translocations. These findings suggest that real-time impedance sensing could be a useful tool for guiding CI electrode insertion and improving surgical outcomes.",TRUE,"Talks about real-time sensing in cochlear implant surgery, which doesn't connect to predicting or evaluating aesthetic results in plastic or cancer-related surgeries."
Mechanical fabrication and evaluation of bioresorbable barbed sutures with different barb geometries,Nambi Gowri K.; King M.W.,2024,Biomedical Materials (Bristol),Institute of Physics,"Barbed sutures have been widely used in clinical applications due to their self-anchoring ability and knotless feature. However, the barbs on current barbed sutures are mostly fabricated by post-processing methods, which are time-consuming and costly. In this study, a mechanical fabrication method was developed to produce bioresorbable barbed sutures with different barb geometries. The barbs were fabricated by a single-step mechanical cutting process on polydioxanone (PDO) monofilament sutures. The effects of barb geometry, including barb length, barb angle, and barb spacing, on the mechanical properties and tissue holding capacity of the barbed sutures were systematically evaluated. The results showed that the mechanical cutting method could produce barbs with precise geometry and good surface quality. The barb geometry significantly influenced the tensile strength, barb pull-out force, and tissue holding capacity of the sutures. Sutures with longer barb length and smaller barb angle exhibited higher tissue holding capacity but reduced tensile strength. The optimized barb geometry achieved a balance between mechanical strength and tissue anchoring ability. This study provides a novel and efficient approach for fabricating bioresorbable barbed sutures with tunable mechanical and functional properties, which could facilitate their clinical translation and application.",TRUE,"Focuses solely on making and testing barbed sutures without covering automatic prediction or assessment of how things look after plastic or cancer surgery, so it doesn't fit the review’s topic."
Heterogeneous pHPMA hydrogel promotes neuronal differentiation of bone marrow derived stromal cells in vitro and in vivo,Rybachuk O.; Savytska N.; Pinet I.; Yaminsky Y.; Medvediev V.,2023,Biomedical Materials (Bristol),Institute of Physics,"Hydrogels with heterogeneous microenvironments have been demonstrated to regulate cell behaviors and tissue regeneration. However, the effect of heterogeneous hydrogels on neuronal differentiation of bone marrow derived stromal cells (BMSCs) remains unclear. Herein, a heterogeneous poly(N-(2-hydroxypropyl)methacrylamide) (pHPMA) hydrogel was fabricated by combining two pHPMA hydrogels with different stiffnesses. The heterogeneous pHPMA hydrogel exhibited a gradient stiffness from 0.5 to 15 kPa, mimicking the mechanical heterogeneity of native neural tissue. BMSCs cultured on the heterogeneous hydrogel showed enhanced neuronal differentiation compared to those on homogeneous hydrogels, as evidenced by increased expression of neuronal markers βIII-tubulin and MAP2. In vivo implantation of BMSCs-laden heterogeneous hydrogel into a rat spinal cord injury model promoted neuronal differentiation and improved functional recovery. These findings suggest that the heterogeneous pHPMA hydrogel provides a favorable microenvironment for neuronal differentiation of BMSCs and holds potential for neural tissue engineering applications.",TRUE,"Focus lies on hydrogel-based neuronal differentiation and tissue engineering, which doesn't connect with predicting or assessing aesthetic results in plastic or cancer surgery."
Effects of the learning curve on operative time and lymph node harvesting during robotic gastrectomy,Staderini F.; Barbato G.; Bottari A.; Russo E.; Fortuna L.; Giudici F.; Coratti F.; Stacchini L.; Indennitate G.; Cianchi F.,2023,International Journal of Medical Robotics and Computer Assisted Surgery,John Wiley and Sons Ltd,"Abstract  The aim of this study was to evaluate the effects of the learning curve on operative time and lymph node harvesting during robotic gastrectomy. We retrospectively reviewed 100 consecutive patients who underwent robotic gastrectomy for gastric cancer. The learning curve was analyzed using the cumulative sum (CUSUM) method based on operative time. Patients were divided into two groups: the early phase (cases 1–40) and the late phase (cases 41–100). We compared operative time, number of harvested lymph nodes, and perioperative outcomes between the two groups. The CUSUM analysis showed a significant reduction in operative time after 40 cases. The mean operative time was significantly shorter in the late phase group compared to the early phase group (210 ± 35 minutes vs. 270 ± 40 minutes, p < 0.001). The number of harvested lymph nodes was significantly higher in the late phase group (35 ± 8 vs. 28 ± 7, p < 0.001). There were no significant differences in perioperative complications between the two groups. In conclusion, the learning curve for robotic gastrectomy affects operative time and lymph node harvesting, with improvements observed after 40 cases. These findings suggest that surgical proficiency in robotic gastrectomy can be achieved with experience, leading to more efficient surgery and improved oncological outcomes.",TRUE,"Focuses on surgical timing and lymph node harvesting in robotic gastrectomy, without covering automatic prediction or assessment of aesthetic results in plastic or cancer surgery, which is the main interest here."
Long-term in vivo performance of silicone membrane lungs coated with novel methacryloyloxyethyl phosphorylcholine polymers: A pilot study,Anraku M.; Yokoi R.; Hara S.; Nobori Y.; Nakao K.; Fukumoto K.; Ono T.; Sato K.; Watanabe F.; Isoyama T.; Oshiyama H.; Ono M.; Nakajima J.; Takai M.,2025,Artificial Organs,John Wiley and Sons Inc,"Abstract  The long-term in vivo performance of silicone membrane lungs coated with novel methacryloyloxyethyl phosphorylcholine (MPC) polymers was evaluated in a pilot study. The MPC polymers were designed to improve the biocompatibility and reduce thrombogenicity of the silicone membrane lungs used in extracorporeal membrane oxygenation (ECMO). Silicone membrane lungs coated with MPC polymers were implanted in an animal model and monitored over an extended period. The study assessed gas exchange efficiency, hemocompatibility, and the extent of thrombus formation on the membrane surface. Results demonstrated that the MPC-coated silicone membrane lungs maintained stable gas exchange performance and exhibited significantly reduced thrombus formation compared to uncoated controls. These findings suggest that MPC polymer coatings may enhance the long-term functionality and safety of silicone membrane lungs in clinical ECMO applications.",TRUE,"Focuses on silicone membrane lungs in ECMO, which doesn't relate to predicting or assessing aesthetic results in plastic or cancer surgery."
Short-term outcomes of robot-assisted versus thoracoscopic-assisted Mckeown esophagectomy,Meng Y.-Q.; Li B.; Wang C.; Jiang P.; Song T.-N.; Feng H.-M.; Lin J.-P.,2023,International Journal of Medical Robotics and Computer Assisted Surgery,John Wiley and Sons Ltd,"This study aimed to compare the short-term outcomes of robot-assisted McKeown esophagectomy (RAME) and thoracoscopic-assisted McKeown esophagectomy (TAME) for esophageal cancer. A total of 60 patients who underwent minimally invasive McKeown esophagectomy were retrospectively analyzed, including 30 patients in the RAME group and 30 patients in the TAME group. Perioperative outcomes, including operative time, blood loss, number of lymph nodes harvested, postoperative complications, and length of hospital stay, were compared between the two groups. The results showed that the RAME group had a longer operative time but less intraoperative blood loss compared to the TAME group. The number of lymph nodes harvested was significantly higher in the RAME group. Postoperative complication rates and length of hospital stay were similar between the two groups. The study concluded that robot-assisted McKeown esophagectomy is a safe and feasible procedure with comparable short-term outcomes to thoracoscopic-assisted McKeown esophagectomy, offering advantages in lymph node dissection and reduced blood loss.",TRUE,"Focuses on comparing surgical methods and immediate results, with no mention of predicting or assessing aesthetic outcomes, so it doesn’t align with the review’s goals."
Antibody Profiling and In Silico Functional Analysis of Differentially Reactive Antibody Signatures of Glioblastomas and Meningiomas,Milchram L.; Kulovics R.; Sonntagbauer M.; Schönthaler S.; Vierlinger K.; Dorfer C.; Cameron C.; Saydam O.; Weinhäusel A.,2023,International Journal of Molecular Sciences,MDPI,"Glioblastomas (GBM) and meningiomas (MEN) are the most common primary brain tumors in adults. The identification of tumor-specific antibody signatures may provide new insights into tumor biology and aid in the development of diagnostic and therapeutic strategies. In this study, we performed antibody profiling using high-density peptide microarrays to identify differentially reactive antibody signatures in sera from patients with GBM and MEN compared to healthy controls. We identified distinct antibody reactivity patterns that differentiate GBM and MEN patients from controls and from each other. In silico functional analysis of the differentially reactive peptides revealed enrichment in pathways related to tumor progression, immune response, and cell signaling. Our findings suggest that antibody profiling combined with computational analysis can uncover tumor-specific immune signatures, offering potential biomarkers and therapeutic targets for brain tumors.",TRUE,Looks into antibody profiling and brain tumor biology without touching on automatic prediction or assessment of aesthetic results in plastic or cancer surgeries.
In vitro and in vivo evaluation of a modified porcine acellular dermal matrix for soft tissue augmentation,Zhang B.; Ma L.; Tang L.S.; Song D.W.; Guo J.; Zhang F.; Xu X.,2023,Journal of Biomaterials Applications,SAGE Publications Ltd,"Background: Porcine acellular dermal matrix (PADM) is widely used in soft tissue augmentation. However, its clinical application is limited by poor mechanical properties and rapid degradation. This study aimed to develop a modified PADM (mPADM) with improved mechanical strength and degradation resistance and to evaluate its biocompatibility and efficacy in vitro and in vivo. Methods: PADM was cross-linked using a novel chemical agent to produce mPADM. Mechanical properties were assessed by tensile testing. In vitro degradation was evaluated by collagenase digestion. Biocompatibility was tested using human gingival fibroblasts (HGFs) for cell viability and proliferation. In vivo, mPADM and PADM were implanted subcutaneously in rats for 12 weeks to assess tissue integration, inflammatory response, and volume maintenance. Results: mPADM exhibited significantly higher tensile strength and lower degradation rate compared to PADM (p < 0.05). HGFs cultured on mPADM showed enhanced viability and proliferation. In vivo, mPADM demonstrated better volume maintenance and reduced inflammatory infiltration than PADM. Histological analysis revealed improved collagen deposition and neovascularization in mPADM implants. Conclusion: The modified PADM showed enhanced mechanical properties, biocompatibility, and in vivo performance, indicating its potential as a superior scaffold for soft tissue augmentation.",TRUE,"The abstract centers on creating and testing a biomaterial for tissue augmentation but doesn’t touch on predicting or evaluating aesthetic results, so it doesn’t match the review’s focus."
Hybrid registration of the fibula for electromagnetically navigated osteotomies in mandibular reconstructive surgery: a phantom study,Aukema L.M.N.; de Geer A.F.; van Alphen M.J.A.; Schreuder W.H.; van Veen R.L.P.; Ruers T.J.M.; Siepel F.J.; Karakullukcu M.B.,2025,International Journal of Computer Assisted Radiology and Surgery ,Springer Science and Business Media Deutschland GmbH,"Purpose Electromagnetic (EM) navigation is a promising technique for guiding osteotomies in mandibular reconstructive surgery. However, the registration of the fibula, which is the donor bone, remains challenging due to its complex shape and limited anatomical landmarks. This study proposes a hybrid registration method combining surface and landmark-based approaches to improve the accuracy and robustness of fibula registration for EM-navigated osteotomies. Methods A phantom model of the fibula was used to simulate the registration process. The hybrid method involved initial landmark-based registration using fiducial markers followed by surface-based refinement using iterative closest point (ICP) algorithm. The accuracy of the hybrid registration was compared to landmark-only and surface-only methods by measuring the target registration error (TRE) at predefined points. Results The hybrid registration method achieved a significantly lower mean TRE (1.2 ± 0.3 mm) compared to landmark-only (2.5 ± 0.7 mm) and surface-only (1.8 ± 0.5 mm) methods (p < 0.01). The hybrid approach also demonstrated improved robustness against noise and partial surface data. Conclusion The proposed hybrid registration method enhances the accuracy and reliability of fibula registration for EM-navigated mandibular reconstructive surgery. This approach has the potential to improve surgical outcomes by enabling precise osteotomies and better alignment of the fibula graft. Further studies on clinical data are warranted to validate these findings.",TRUE,Focuses on technical tweaks in fibula registration but doesn't cover automatic prediction or how the results look in plastic or cancer-related surgeries.
A Fixed Reconstruction and Immediate Rehabilitation of Fully Edentulous Arch Using the All-on-Four Concept: Case Series,Choudhary A.; Vashist S.; Chopra M.; Sharma A.,2023,Journal of Long-Term Effects of Medical Implants,Begell House Inc.,"The All-on-Four concept is a treatment modality for the rehabilitation of completely edentulous arches using four implants to support a fixed prosthesis. This case series presents the clinical outcomes of patients treated with the All-on-Four protocol, focusing on immediate loading and rehabilitation. The study highlights the surgical and prosthetic procedures, emphasizing the advantages of this approach, including reduced treatment time, cost-effectiveness, and improved patient satisfaction. The results demonstrate successful osseointegration and functional restoration, supporting the All-on-Four concept as a viable option for full-arch rehabilitation in edentulous patients.",TRUE,"Focuses on dental implant rehab and function, but doesn't cover automatic prediction or aesthetic evaluation in plastic or cancer-related surgery, which is what the review is about."
Systematic Analysis of PTFE Monocusp Leaflet Design in a Patient-Based 3D in-Vitro Model of Tetralogy of Fallot,Zhang X.; Kizilski S.B.; Recco D.P.; Chaillo Lizarraga M.D.; Kneier N.E.; Schulz N.E.; Baird C.W.; Hammer P.E.; Hoganson D.M.,2023,Cardiovascular Engineering and Technology,Springer,"Pulmonary regurgitation (PR) is a common long-term complication after repair of Tetralogy of Fallot (TOF). Implantation of a monocusp valve during the initial repair has been proposed to reduce PR and improve right ventricular function. However, the optimal design of the monocusp leaflet remains unclear. This study aimed to systematically analyze the hemodynamic performance of different polytetrafluoroethylene (PTFE) monocusp leaflet designs in a patient-based 3D in-vitro model of TOF. A patient-specific right ventricular outflow tract (RVOT) model was 3D printed and integrated into a pulsatile flow loop simulating physiological conditions. Various PTFE monocusp leaflets differing in size, shape, and thickness were fabricated and tested. Hemodynamic parameters including regurgitant fraction, transvalvular pressure gradient, and effective orifice area were measured. Results demonstrated that leaflet design significantly influenced valve competence and flow dynamics. Larger and thicker leaflets reduced PR but increased transvalvular gradients, while smaller and thinner leaflets had the opposite effect. An optimal balance was identified that minimized PR without causing significant obstruction. This study provides valuable insights into PTFE monocusp design optimization, potentially guiding surgical strategies to improve outcomes in TOF repair.",TRUE,"Looks at blood flow in heart valve repairs, which doesn’t connect to predicting or evaluating how surgeries look in plastic or cancer-related procedures."
Assessment of Concentration KRT6 Proteins in Tumor and Matching Surgical Margin from Patients with Head and Neck Squamous Cell Carcinoma,Nałęcz D.; Świętek A.; Hudy D.; Wiczkowski K.; Złotopolska Z.; Strzelczyk J.K.,2024,International Journal of Molecular Sciences,Multidisciplinary Digital Publishing Institute (MDPI),"Cytokeratins (KRTs) are intermediate filament proteins that play a crucial role in the structural integrity of epithelial cells. Among them, KRT6 isoforms have been implicated in the pathogenesis of various cancers, including head and neck squamous cell carcinoma (HNSCC). This study aimed to assess the concentration of KRT6 proteins in tumor tissues and matching surgical margins from patients with HNSCC. Using quantitative proteomic analysis, we measured KRT6 levels in paired samples and evaluated their potential as biomarkers for tumor presence and margin status. Our results demonstrated a significant elevation of KRT6 proteins in tumor tissues compared to surgical margins, suggesting their involvement in tumor biology and potential utility in surgical margin assessment. These findings contribute to a better understanding of KRT6's role in HNSCC and may inform future diagnostic and therapeutic strategies.",TRUE,"Focuses on analyzing protein levels in tumor tissue instead of using automation to predict or assess aesthetic results in plastic or cancer surgery, so it doesn’t fit the review’s topic."
Design and evaluation of an AR-based thermal imaging system for planning reconstructive surgeries,Unger M.; Hänel A.; Chalopin C.; Halama D.,2024,International Journal of Computer Assisted Radiology and Surgery,Springer Science and Business Media Deutschland GmbH,"Thermography is a non-invasive imaging technique that can be used to assess the vascularization of tissues, which is crucial for planning reconstructive surgeries. However, traditional thermal imaging systems lack spatial context, making it challenging for surgeons to interpret thermal data accurately during preoperative planning. This study presents the design and evaluation of an augmented reality (AR)-based thermal imaging system that overlays thermal images directly onto the patient’s anatomy, providing intuitive spatial context for surgical planning. The system integrates a thermal camera with an AR headset, enabling real-time visualization of temperature distributions on the patient’s skin. We conducted a user study with reconstructive surgeons to assess the system’s usability, accuracy, and potential impact on surgical planning. Results indicate that the AR-based system improves the surgeons’ ability to identify critical vascular structures and enhances confidence in surgical decisions. The proposed approach demonstrates the feasibility and benefits of combining thermal imaging with AR technology to support reconstructive surgery planning.",TRUE,"Focuses on creating an AR thermal imaging system for surgery planning but doesn’t cover automatic prediction or assessment of aesthetic results, which is the main interest here."
First Case Series of Robotic-Assisted Hysterectomy Below the Bikini Line: ‘Diamond’ Port Placement Using the Hugo RAS System,Sakamoto I.; Ito Y.; Matsuda K.; Nozaki T.; Kagami K.,2025,International Journal of Medical Robotics and Computer Assisted Surgery,John Wiley and Sons Ltd,"Abstract  Introduction: Robotic-assisted hysterectomy is a well-established minimally invasive surgical technique. However, the standard port placement often results in visible scars on the abdomen, which some patients find undesirable. This study presents the first case series of robotic-assisted hysterectomy performed with a novel ‘diamond’ port placement below the bikini line using the Hugo™ RAS system, aiming to improve cosmetic outcomes without compromising surgical efficacy.  Materials and Methods: We conducted a prospective case series involving patients undergoing robotic-assisted hysterectomy for benign gynecological conditions. The ‘diamond’ port placement was utilized, positioning all ports below the bikini line. Surgical outcomes, including operative time, blood loss, complications, and postoperative recovery, were recorded and analyzed.  Results: Five patients underwent robotic-assisted hysterectomy with the ‘diamond’ port placement. All procedures were completed successfully without conversion to open surgery. The mean operative time was 120 minutes, and estimated blood loss was minimal. No intraoperative or postoperative complications were observed. Patients reported high satisfaction with the cosmetic results, noting the absence of visible abdominal scars.  Conclusion: The ‘diamond’ port placement below the bikini line using the Hugo™ RAS system is a feasible and safe approach for robotic-assisted hysterectomy. This technique offers excellent cosmetic outcomes while maintaining surgical effectiveness. Further studies with larger cohorts are warranted to validate these findings and assess long-term outcomes.",TRUE,"Focuses on a new surgical method and patient satisfaction with looks but doesn’t include any automated ways to predict or assess aesthetic results, and it’s not related to plastic or cancer surgery."
Safety of Allogeneic Mesenchymal Stem Cell Seeding of NeuraGen Nerve Guides in a Rabbit Model,Bedar M.; Van Wijnen A.J.; Shin A.Y.,2023,Tissue Engineering - Part C: Methods,Mary Ann Liebert Inc.,"Peripheral nerve injuries are common and often result in significant functional impairment. Nerve guidance conduits (NGCs) seeded with mesenchymal stem cells (MSCs) have shown promise in enhancing nerve regeneration. This study aimed to evaluate the safety of allogeneic MSC seeding of NeuraGen NGCs in a rabbit model. MSCs were isolated, characterized, and seeded onto NeuraGen NGCs, which were then implanted to bridge a 10-mm sciatic nerve defect in rabbits. Animals were monitored for clinical signs, hematology, serum chemistry, and histopathology over 12 weeks. No adverse clinical signs or systemic toxicity were observed. Histological analysis revealed no evidence of abnormal tissue reaction or tumor formation. These findings suggest that allogeneic MSC-seeded NeuraGen NGCs are safe for peripheral nerve repair in this preclinical model, supporting further investigation into their therapeutic potential.",TRUE,"Focuses on testing safety in preclinical nerve repair but doesn’t cover predicting or evaluating cosmetic results in plastic or cancer surgery, so it doesn’t fit the review’s topic."
Light-sheet laser speckle imaging for cilia motility assessment,Long K.; Liu J.; Shen S.; Thong M.; Wang D.; Chen N.,2023,Computational and Structural Biotechnology Journal,Elsevier B.V.,"Cilia motility assessment is essential for understanding various physiological and pathological processes, including respiratory diseases and developmental disorders. Traditional imaging techniques often face challenges such as limited spatial resolution, phototoxicity, and slow acquisition speeds. In this study, we present a novel light-sheet laser speckle imaging (LS-LSI) approach that combines the advantages of light-sheet microscopy and laser speckle contrast imaging to enable high-resolution, high-speed, and minimally invasive visualization of cilia motility. Our method provides quantitative measurements of ciliary beat frequency and patterns with improved contrast and reduced photodamage compared to conventional methods. We demonstrate the effectiveness of LS-LSI in assessing cilia function in cultured epithelial cells and discuss its potential applications in clinical diagnostics and biomedical research.",TRUE,"Focuses on imaging methods for studying cilia movement, which doesn’t relate to predicting or evaluating aesthetic results in plastic or cancer surgery."
Differentiation of Small Gastrointestinal Stromal Tumor and Gastric Leiomyoma with Contrast-Enhanced CT,Yan M.; Liu Y.; You H.; Zhao Y.; Jin J.; Wang J.,2023,Journal of Healthcare Engineering,Hindawi Limited,"Background. Small gastrointestinal stromal tumors (GISTs) and gastric leiomyomas (GLMs) are difficult to differentiate by conventional imaging. This study aimed to investigate the value of contrast-enhanced computed tomography (CECT) in differentiating small GISTs and GLMs. Methods. A total of 45 patients with small GISTs and 16 patients with GLMs confirmed by pathology were retrospectively analyzed. The clinical and CECT imaging features were compared between the two groups. Results. The mean age of patients with small GISTs was significantly higher than that of patients with GLMs (P < 0.05). The tumor location was significantly different between the two groups (P < 0.05). The enhancement pattern of small GISTs was mainly heterogeneous, while that of GLMs was mainly homogeneous (P < 0.05). The degree of enhancement in the arterial phase and venous phase was significantly higher in small GISTs than in GLMs (P < 0.05). The presence of necrosis and cystic degeneration was more common in small GISTs (P < 0.05). Conclusion. CECT features, including tumor location, enhancement pattern, degree of enhancement, and presence of necrosis or cystic degeneration, can help differentiate small GISTs from GLMs, which is valuable for clinical diagnosis and treatment planning.",TRUE,"Focuses on identifying gastrointestinal tumors through imaging, with no mention of automatic prediction or aesthetic outcome evaluation in plastic or cancer surgery, which falls outside the topic being reviewed."
A dual-transformation with contrastive learning framework for lymph node metastasis prediction in pancreatic cancer,Chen X.; Wang W.; Jiang Y.; Qian X.,2023,Medical Image Analysis,Elsevier B.V.,"Accurate prediction of lymph node metastasis (LNM) in pancreatic cancer is crucial for treatment planning and prognosis evaluation. However, the limited availability of labeled medical images and the complex tumor heterogeneity pose significant challenges for developing robust predictive models. In this study, we propose a novel dual-transformation framework integrated with contrastive learning to enhance the representation learning for LNM prediction. Our approach leverages two complementary image transformations to generate diverse views of the input data, facilitating the model to learn invariant and discriminative features through contrastive loss. Extensive experiments on a pancreatic cancer dataset demonstrate that our method outperforms state-of-the-art techniques, achieving superior accuracy and robustness in LNM prediction. The proposed framework offers a promising direction for improving diagnostic performance in pancreatic cancer and potentially other medical imaging tasks.",TRUE,"Focuses on predicting cancer spread using imaging, which doesn’t relate to automatically predicting or assessing aesthetic results in plastic or cancer surgery."
Visual Breast Asymmetry Assessment with Optical-Flow Algorithm,Monton J.; Kenig N.; Insausti R.; Jordan J.,2020,Journal of Medical Systems,Springer,"Breast asymmetry is a common condition that can affect a woman’s self-esteem and quality of life. Accurate assessment of breast asymmetry is essential for diagnosis, treatment planning, and outcome evaluation in breast surgery. This study proposes a novel method for visual breast asymmetry assessment using an optical-flow algorithm. The method involves capturing frontal images of the breasts, applying the optical-flow algorithm to detect and quantify asymmetry by analyzing the motion and deformation between the two breast regions. The proposed approach was validated on a dataset of clinical images and demonstrated high accuracy and robustness compared to traditional assessment methods. The results suggest that the optical-flow-based method can provide an objective, non-invasive, and efficient tool for breast asymmetry evaluation in clinical practice.",TRUE,"Focuses only on measuring breast asymmetry with optical-flow methods, without covering automatic prediction or evaluation of overall aesthetic results in plastic or cancer-related surgery, which is outside the review’s scope."
"Preclinical assessment of clinically streamlined, 3D-printed, biocompatible single- and two-stage tissue scaffolds for ear reconstruction",Brennan J.R.; Cornett A.; Chang B.; Crotts S.J.; Nourmohammadi Z.; Lombaert I.; Hollister S.J.; Zopf D.A.,2021,Journal of Biomedical Materials Research - Part B Applied Biomaterials,John Wiley and Sons Inc,"Three-dimensional (3D) printing has emerged as a promising technology for fabricating patient-specific tissue scaffolds for ear reconstruction. However, the clinical translation of 3D-printed scaffolds requires streamlined fabrication processes and thorough preclinical evaluation of biocompatibility and functionality. In this study, we developed clinically streamlined, 3D-printed, biocompatible single- and two-stage tissue scaffolds for ear reconstruction using a medical-grade polycaprolactone (PCL) material. The scaffolds were designed to mimic the anatomical shape of the human ear and were fabricated using fused deposition modeling (FDM). We conducted comprehensive in vitro and in vivo assessments, including mechanical testing, cytocompatibility assays, and subcutaneous implantation in a rabbit model to evaluate biocompatibility, tissue integration, and inflammatory response. Our results demonstrated that the 3D-printed PCL scaffolds possessed suitable mechanical properties, supported cell viability and proliferation, and elicited minimal inflammatory response in vivo. The two-stage scaffold design further enhanced tissue ingrowth and vascularization compared to the single-stage design. These findings suggest that the clinically streamlined 3D-printed PCL scaffolds hold significant potential for ear reconstruction applications, providing a foundation for future clinical translation.",TRUE,"Focuses on making and testing 3D-printed ear scaffolds but doesn’t cover automatic prediction or assessment of how the results look, which is what this review is about."
