title,author,year,journal,doi,abstract,rejected_by_full-text_screening,reason_for_full-text_screening
A new deformation simulation algorithm for elastic-plastic objects based on splat primitives,Zou Y.; Liu P.X.,2017,Computers in Biology and Medicine,10.1016/j.compbiomed.2017.02.007,"To achieve high computational efficiency and realistic visual effects, a new simulation algorithm for soft tissue deformation, which is based on a shape-matching scheme using splat primitives, is presented for interactive real-time applications, such as surgery simulation and video games. The most important novelty of the proposed approach lies in the fact that surface splats instead of points are employed in the computation of the deformation and fracturing of an elastic-plastic object. By controlling the sampling density and automatically adjusting the size of the circular splats, the surface of the simulated object can be seamlessly covered with a much small number of splats than points. Splats are then divided into clusters using the K-Means clustering algorithm. As a result, the elastic-plastic deformation of these clusters can be simulated using a shape-matching strategy, allowing more degrees of freedom (DOFs) in the simulation. Experimental results demonstrate that the proposed algorithm enormously reduces memory space and greatly improves computational efficiency (approximately twice in simulating plastic deformations compared with classical shape-matching methods), making it more suitable for interactive and real-time applications. © 2017 Elsevier Ltd",TRUE,"Focuses on simulating soft tissue movement for interactive use, not on automatically predicting or evaluating surgical aesthetic results."
Angle measurement technology based on magnetization vector for narrow space applications,Huang Y.; Zhang S.; Gao L.; Zheng Y.,2020,Nanotechnology and Precision Engineering,10.1016/j.npe.2020.09.001,"With the wide application of laser in the field of skin plastic surgery, micro laser galvanometer scanner has made great progress in this field with its portability. However, the measurement method used to measure the deflection angle of laser galvanometer in the narrow space of scanner with high precision remains to be studied. In this paper, an angle measurement method based on magnetic field is proposed, and the effect of the shapes of permanent magnets (PMs) on the measurement is studied by theoretical and experimental study under the condition that the maximum available space for the PMs is a 10mm side cube. An angle measuring experimental device is set up, and the contrast experiment is carried out with different PMs which are the same as simulation. The experimental results show that cylindrical PM is more suitable than other PMs, which is consistent with the simulation results, and the maximum nonlinearity error is 0.562%. This method has the advantages of small volume, non-contact measurement, small moment of inertia, good dynamic response and no external excitation for the PMs, so it has a broad application prospect in micro laser galvanometer scanner. Copyright © 2020 Tianjin University. Publishing Service by Elsevier B.V. on behalf of KeAi Communications Co., Ltd.",FALSE,
3D Reconstruction Model of an Extra-Abdominal Desmoid Tumor: A Case Study,Marinozzi F.; Carleo F.; Novelli S.; Di Martino M.; Cardillo G.; Petrella L.; Bini F.,2020,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2020.00518,"In recent years, three-dimensional reconstruction (3DR) models have become a standard tool in several medical fields such as education, surgical training simulation, patient–doctor communication, and surgical planning. Postoncologic reconstructive surgery in thoracic diseases might benefit from 3DR models; however, limited data on this application have been published worldwide. In this paper, the aim was to report our experience with 3DR modeling to determine resection and plan the surgical reconstruction in a patient with a desmoid tumor of the chest wall. For a better understanding of the case study, we describe all the steps from acquiring computed tomography (CT) scans to the final 3D rendering. A 68-year-old, non-smoking man presented at our outpatient department with painless swelling of the right anterobasal chest wall. A thorax–abdomen–brain CT scan revealed homogenous solid tissue with a dense mass measuring 80 mm × 62 mm. The final 3D model was evaluated by the surgical team (three medical doctors), who found the model to be powerful. Based on the results and the accuracy of the model, the multidisciplinary team decided that the tumor was resectable. Consequently, a surgical plan based on the 3D model was developed to perform chest wall reconstruction after radical resection. The patient underwent right anterolateral thoracotomy at the seventh intercostal space, which confirmed the CT scan findings and revealed infiltration of the serratus muscle and medial portion of the diaphragm. A radical tumor en bloc resection with chest wall and diaphragm resection was performed. The full-thickness chest wall and diaphragm defects were reconstructed using two separate biological patches of a porcine dermal collagen implant (Permacol™ Surgical Implant). Postoperative X-ray revealed unremarkable findings; the patient had an uneventful recovery and was discharged 6 days after surgery. This case study illustrates that 3DR models enable a personalized approach to the treatment of desmoid tumors. Therefore, this approach should be developed further and studied systematically. © Copyright © 2020 Marinozzi, Carleo, Novelli, Di Martino, Cardillo, Petrella and Bini.",FALSE,
Statistical model based 3D shape prediction of postoperative trunks for non-invasive scoliosis surgery planning,K.C. Assi and H. Labelle and F. Cheriet,2014,Computers in Biology and Medicine,,"Accurate prediction of the postoperative trunk shape is essential for non-invasive scoliosis surgery planning. This paper presents a statistical model-based approach to predict the 3D shape of the postoperative trunk from preoperative data. The method involves constructing a statistical shape model of the trunk from a training set of 3D reconstructions, capturing the variability of trunk shapes in scoliotic patients. Using this model, the postoperative trunk shape is predicted by estimating the shape parameters that best fit the expected surgical correction. The approach is validated on a dataset of patients with pre- and postoperative 3D trunk reconstructions, demonstrating its ability to accurately predict postoperative trunk shapes. This method provides a non-invasive tool for surgical planning, potentially improving surgical outcomes and patient care in scoliosis treatment.",FALSE,
Turn Your Vision into Reality—AI-Powered Pre-operative Outcome Simulation in Rhinoplasty Surgery,"Knoedler, Samuel and Alfertshofer, Michael and Simon, Siddharth and Panayi, Adriana C and Saadoun, Rakan and Palackic, Alen and Falkner, Florian and Hundeshagen, Gabriel and Kauke-Navarro, Martin and Vollbach, Felix H and others",2024,Aesthetic Plastic Surgery,Springer,NOT_FOUND_IN_BIB.,FALSE,
Evaluation of sternum closure methods by means of a nonlinear finite element analysis,Orhan S.N.; Ozyazicioglu M.H.,2019,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",10.1177/0954411919880703,"The main purpose of this study is to develop a validated three-dimensional finite element model of sternum closure techniques. For this aim, the finite element method analysis results of three closure methods were compared with experimental test results. Also, three more closure techniques are simulated numerically to study the effect of the number of wires used in the manubrium and xiphoid regions. A three-dimensional model of polyurethane sternum foam was created based on computed tomography images. Six different closure techniques using steel wire, steel bands and ZipFix bands were modeled on the sternum and transferred into a three-dimensional finite element model. The sternum was modeled as an isotropic bilinear-elasto-plastic material, and nonlinear contact conditions were applied. The models were analyzed under lateral distraction loading, and load-displacement curves were obtained from displacements at the incision line. Allowable loads and stiffness values of the methods were evaluated from these curves. The results showed the importance of the including material as well as geometric nonlinearities in the simulations to obtain realistic results from the numerical analyses. Also, the analyses showed that closures that include steel or ZipFix bands are superior to conventional wiring, and addition of a single wire at the manubrium and xiphoid regions significantly improved the efficiency of the closure techniques. © IMechE 2019.",TRUE,"Focuses on biomechanical testing of sternum closure methods without covering automatic prediction or evaluation of aesthetic results, which doesn't match the topic of aesthetic assessment in plastic and cancer-related surgery."
Towards an intelligent medical system for the aesthetic evaluation of breast cancer conservative treatment,"Cardoso, Jaime S and Cardoso, Maria J",2007,Artificial intelligence in medicine,Elsevier,"Breast cancer conservative treatment (BCCT) is a surgical technique that combines tumor removal with radiotherapy. The aesthetic evaluation of the results of BCCT is a complex task that requires the analysis of several clinical and photographic parameters. This paper presents an intelligent medical system designed to assist clinicians in the aesthetic evaluation of BCCT outcomes. The system integrates image processing techniques with artificial intelligence methods to analyze clinical photographs and extract relevant features. These features are then used to classify the aesthetic results into predefined categories. The proposed system aims to provide an objective, reproducible, and efficient tool to support clinical decision-making and improve patient care in breast cancer treatment.",FALSE,
A narrative review of artificial intelligence (AI) for objective assessment of aesthetic endpoints in plastic surgery,"Atiyeh, Bishara and Emsieh, Saif and Hakim, Christopher and Chalhoub, Rawad",2023,Aesthetic Plastic Surgery,Springer,"Artificial intelligence (AI) has rapidly evolved and is increasingly being integrated into various medical specialties, including plastic surgery. Objective assessment of aesthetic outcomes remains a significant challenge due to the subjective nature of beauty and the variability in human judgment. This narrative review aims to explore the current applications of AI in the objective evaluation of aesthetic endpoints in plastic surgery. We discuss the types of AI technologies employed, such as machine learning and deep learning algorithms, and their roles in analyzing pre- and postoperative images to quantify surgical outcomes. The review highlights the potential benefits of AI, including improved accuracy, consistency, and efficiency in aesthetic assessments, as well as the challenges and limitations faced, such as data quality, ethical considerations, and the need for standardized protocols. Future directions for research and clinical implementation are also proposed to enhance the integration of AI in plastic surgery practice, ultimately aiming to improve patient satisfaction and surgical results.",FALSE,
Tool to visualize and evaluate operator proficiency in laser hair-removal treatments,Noh S.; Koh W.S.; Lim H.-W.; Yoon C.; Kim Y.; Chung J.H.; Kim H.C.; Kim S.,2014,BioMedical Engineering Online,10.1186/1475-925X-13-40,"Background: The uniform delivery of laser energy is particularly important for safe and effective laser hair removal (LHR) treatment. Although it is necessary to quantitatively assess the spatial distribution of the delivered laser, laser spots are difficult to trace owing to a lack of visual cues. This study proposes a novel preclinic tool to evaluate operator proficiency in LHR treatment and applies this tool to train novice operators and compare two different treatment techniques (sliding versus spot-by-spot). Methods: A simulation bed is constructed to visualize the irradiated laser spots. Six novice operators are recruited to perform four sessions of simulation while changing the treatment techniques and the presence of feedback (sliding without feedback, sliding with feedback, spot-by-spot without feedback, and spot-by-spot with feedback). Laser distribution maps (LDMs) are reconstructed through a series of images processed from the recorded video for each simulation session. Then, an experienced dermatologist classifies the collected LDMs into three different performance groups, which are quantitatively analyzed in terms of four performance indices. Results: The performance groups are characterized by using a combination of four proposed indices. The best-performing group exhibited the lowest amount of randomness in laser delivery and accurate estimation of mean spot distances. The training was only effective in the sliding treatment technique. After the training, omission errors decreased by 6.32% and better estimation of the mean spot distance of the actual size of the laser-emitting window was achieved. Gels required operators to be trained when the spot-by-spot technique was used, and imposed difficulties in maintaining regular laser delivery when the sliding technique was used. Conclusions: Because the proposed system is simple and highly affordable, it is expected to benefit many operators in clinics to train and maintain skilled performance in LHR treatment, which will eventually lead to accomplishing a uniform laser delivery for safe and effective LHR treatment. © 2014 Noh et al.; licensee BioMed Central Ltd.",TRUE,Focuses on training skills for laser hair removal instead of using automation to predict or assess aesthetic results in plastic or cancer-related surgery.
Effect of femoral tunnel positions on graft stress in outside-in ACL reconstruction surgery during continuous knee motion: A simulation study,Kang K.; Bae T.S.,2017,International Journal of Medical Robotics and Computer Assisted Surgery,10.1002/rcs.1817,"Background:: Previous studies regarding the optimal femoral tunnel location for an anterior cruciate ligament (ACL) reconstruction were based on static experiments at specific angles, and did not consider continuous motion of the knee. Methods:: Twenty-four surgical sites were set and continuous kinematic data, obtained from motion analysis, was used to describe knee movement. The bending angle and stress of the ACL graft as well as the length of the femoral tunnel was calculated through multi-flexible body dynamics analysis. Results:: The lowest stress was found at both 5 mm and 10 mm radius at a proximal posterior of 45°, and the highest stress was also found at a distal 15 mm radius. Relatively high stresses were also identified between the distal and anterior regions as well as the distal and posterior regions at 15 mm radius. Conclusion:: Considering the availability of surgery, it was identified that the optimum femoral tunnel location is at 10 mm radius locations at a proximal posterior of 45°. Copyright © 2017 John Wiley & Sons, Ltd.",FALSE,
Modeling the biomechanics of swine mastication - An inverse dynamics approach,Basafa E.; Murphy R.J.; Gordon C.R.; Armand M.,2014,Journal of Biomechanics,10.1016/j.jbiomech.2014.05.019,"A novel reconstructive alternative for patients with severe facial structural deformity is Le Fort-based, face-jaw-teeth transplantation (FJTT). To date, however, only ten surgeries have included underlying skeletal and jaw-teeth components, all yielding sub-optimal results and a need for a subsequent revision surgery, due to size mismatch and lack of precise planning. Numerous studies have proven swine to be appropriate candidates for translational studies including pre-operative planning of transplantation. An important aspect of planning FJTT is determining the optimal muscle attachment sites on the recipient’s jaw, which requires a clear understanding of mastication and bite mechanics in relation to the new donated upper and/or lower jaw. A segmented CT scan coupled with data taken from literature defined a biomechanical model of mandible and jaw muscles of a swine. The model was driven using tracked motion and external force data of one cycle of chewing published earlier, and predicted the muscle activation patterns as well as temporomandibular joint (TMJ) reaction forces and condylar motions. Two methods, polynomial and min/max optimization, were used for solving the muscle recruitment problem. Similar performances were observed between the two methods. On average, there was a mean absolute error (MAE) of <0.08 between the predicted and measured activation levels of all muscles, and an MAE of <7. N for TMJ reaction forces. Simulated activations qualitatively followed the same patterns as the reference data and there was very good agreement for simulated TMJ forces. The polynomial optimization produced a smoother output, suggesting that it is more suitable for studying such motions. Average MAE for condylar motion was 1.2. mm, which reduced to 0.37. mm when the input incisor motion was scaled to reflect the possible size mismatch between the current and original swine models. Results support the hypothesis that the model can be used for planning of facial transplantation. © 2014 Elsevier Ltd.",TRUE,"Focuses on biomechanical modeling of pig chewing for surgery planning, not on predicting or evaluating aesthetic results, so it doesn’t fit the review’s goal on cosmetic assessments in plastic and cancer surgery."
Numerical and experimental investigations for the evaluation of the wear coefficient of reverse total shoulder prostheses,Mattei L.; Di Puccio F.; Joyce T.J.; Ciulli E.,2016,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2015.10.007,"In the present study, numerical and experimental wear investigations on reverse total shoulder arthroplasties (RTSAs) were combined in order to estimate specific wear coefficients, currently not available in the literature. A wear model previously developed by the authors for metal-on-plastic hip implants was adapted to RTSAs and applied in a double direction: firstly, to evaluate specific wear coefficients for RTSAs from experimental results and secondly, to predict wear distribution. In both cases, the Archard wear law (AR) and the wear law of UHMWPE (PE) were considered, assuming four different k functions. The results indicated that both the wear laws predict higher wear coefficients for RTSA with respect to hip implants, particularly the AR law, with k values higher than twofold the hip ones. Such differences can significantly affect predictive wear model results for RTSA, when non-specific wear coefficients are used. Moreover, the wear maps simulated with the two laws are markedly different, although providing the same wear volume. A higher wear depth (+51%) is obtained with the AR law, located at the dome of the cup, while with the PE law the most worn region is close to the edge. Taking advantage of the linear trend of experimental volume losses, the wear coefficients obtained with the AR law should be valid despite having neglected the geometry update in the model. © 2015 Elsevier Ltd.",TRUE,Focuses on biomechanical wear of shoulder prostheses and doesn't cover automatic prediction or aesthetic evaluation in plastic or cancer-related surgery.
The effect of cosmetic surgery on self-esteem and body image: a systematic review and meta-analysis of clinical trial studies,"Kazeminia, Mohsen and Salari, Nader and Heydari, Mohammadbagher and Akbari, Hakimeh and Mohammadi, Masoud",2023,European Journal of Plastic Surgery,Springer,"Purpose This study aimed to systematically review and meta-analyze the effect of cosmetic surgery on self-esteem and body image based on clinical trial studies. Methods A systematic search was conducted in PubMed, Scopus, Web of Science, and Google Scholar databases from inception to July 2021. Clinical trial studies that evaluated the effect of cosmetic surgery on self-esteem and body image were included. The quality of the included studies was assessed using the Cochrane risk of bias tool. A random-effects meta-analysis was performed to estimate the pooled effect size. Results Ten clinical trial studies with a total of 512 participants were included. The meta-analysis showed a significant improvement in self-esteem (standardized mean difference [SMD] = 0.78; 95% confidence interval [CI]: 0.45 to 1.11; p < 0.001) and body image (SMD = 0.85; 95% CI: 0.52 to 1.18; p < 0.001) after cosmetic surgery. Subgroup analyses indicated that the effect was consistent across different types of cosmetic surgery and follow-up durations. Conclusion Cosmetic surgery has a positive effect on self-esteem and body image based on clinical trial evidence. These findings support the psychological benefits of cosmetic surgery, but further high-quality trials with longer follow-up are needed to confirm these results.",FALSE,
A novel approach to keypoint detection for the aesthetic evaluation of breast cancer surgery outcomes,"Gon{\c{c}}alves, Tiago and Silva, Wilson and Cardoso, Maria J and Cardoso, Jaime S",2020,Health and Technology,Springer,"Breast cancer surgery is a common treatment for breast cancer patients, and the aesthetic outcome of the surgery is an important factor affecting patients’ quality of life. Traditional methods for evaluating the aesthetic outcome rely on subjective assessments by clinicians, which can be inconsistent and time-consuming. In this paper, we propose a novel approach to keypoint detection for the aesthetic evaluation of breast cancer surgery outcomes. Our method utilizes deep learning techniques to automatically detect keypoints on breast images, enabling objective and reproducible measurements of surgical results. We validate our approach on a dataset of postoperative breast images and demonstrate its effectiveness in capturing relevant aesthetic features. The proposed method has the potential to assist clinicians in providing standardized and quantitative assessments of breast surgery outcomes, ultimately improving patient care.",FALSE,
A model of articular cruciate ligament reconstructive surgery: A validation construct and computational insights,Salehghaffari S.; Dhaher Y.Y.,2014,Journal of Biomechanics,10.1016/j.jbiomech.2014.03.003,"This study sought to develop a computational framework that emulates the articular cruciate ligament reconstruction surgery using transtibial portal technique. The proposed model included the tibia-femoral and patella-femoral joints, articular cartilage and menisci. Key surgical parameters were incorporated including bone-patellar-tendon-bone graft excision and pre-tensioning, tunnel morphology, bone plugs, and bone plug fixation. Several simulation steps were parameterized to reflect the clinically reported surgical procedure. Our focus was to explore the intra-operative effects of variations in tunnel directions on the selected metrics of joint mechanics during Lachman and Anterior Drawer tests. A mathematical construct capable of transforming the limited and heterogeneous experimental and surgical data to evidence-based validation was adopted to ensure the viability of the finite element models. We found that the proposed models, subject to a variation in tunnel directions, resulted in simulation outputs that favor the reported experimental data of Lachman and Anterior Drawer tests under uncertainty. Simulation results for a population of three-dimensional tunnel orientations provided insights into the graft-tunnel contact mechanics and the spatial stress distribution in the graft, insights that have been anecdotally observed in prior experimental studies. The intraarticular graft tension was found to be higher than the estimated in tunnel graft force, and larger differences were found for the least inclined tunnels exhibiting higher contact pressures, transverse bending and twisting of the graft and Von-Mises stress at the graft-femoral tunnel interface. Conversely, tunnels with high inclination angles exhibited higher intraarticular graft tension and Von-Mises stress at the graft-tibial bone plug interface. © 2014.",TRUE,"Focuses on biomechanical modeling of ligament reconstruction and doesn't cover automatic prediction or evaluation of aesthetic results in plastic or cancer surgery, so it doesn't fit the review's topic."
Finite element analysis of customized reconstruction plates for mandibular continuity defect therapy,Narra N.; Valášek J.; Hannula M.; Marcián P.; Sándor G.K.; Hyttinen J.; Wolff J.,2014,Journal of Biomechanics,10.1016/j.jbiomech.2013.11.016,"Finite element analysis of customized reconstruction plates for mandibular continuity defect therapy  Large mandibular continuity defects pose a significant challenge in oral maxillofacial surgery. One solution to this problem is to use computer-guided surgical planning and additive manufacturing technology to produce patient-specific reconstruction plates. However, when designing customized plates, it is important to assess potential biomechanical responses that may vary substantially depending on the size and geometry of the defect. The aim of this study was to assess the design of two customized plates using finite element method (FEM). These plates were designed for the reconstruction of the lower left mandibles of two ameloblastoma cases (patient 1/plate 1 and patient 2/plate 2) with large bone resections differing in both geometry and size. Simulations revealed maximum von Mises stresses of 63. MPa and 108. MPa in plates 1 and 2, and 65. MPa and 190. MPa in the fixation screws of patients 1 and 2. The equivalent strain induced in the bone at the screw-bone interface reached maximum values of 2739 micro-strain for patient 1 and 19,575 micro-strain for patient 2. The results demonstrate the influence of design on the stresses induced in the plate and screw bodies. Of particular note, however, are the differences in the induced strains. Unphysiologically high strains in bone adjacent to screws can cause micro-damage leading to bone resorption. This can adversely affect the anchoring capabilities of the screws. Thus, while custom plates offer optimal anatomical fit, attention should be paid to the expected physiological forces on the plates and the induced stresses and strains in the plate-screw-bone assembly. © 2013 Elsevier Ltd.",FALSE,
Improving tissue expansion protocols through computational modeling,Lee T.; Vaca E.E.; Ledwon J.K.; Bae H.; Topczewska J.M.; Turin S.Y.; Kuhl E.; Gosain A.K.; Tepole A.B.,2018,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2018.03.034,"Tissue expansion is a common technique in reconstructive surgery used to grow skin in vivo for correction of large defects. Despite its popularity, there is a lack of quantitative understanding of how stretch leads to growth of new skin. This has resulted in several arbitrary expansion protocols that rely on the surgeon's personal training and experience rather than on accurate predictive models. For example, choosing between slow or rapid expansion, or small or large inflation volumes remains controversial. Here we explore four tissue expansion protocols by systematically varying the inflation volume and the protocol duration in a porcine model. The quantitative analysis combines three-dimensional photography, isogeometric kinematics, and finite growth theory. Strikingly, all four protocols generate similar peak stretches, but different growth patterns: Smaller filling volumes of 30 ml per inflation did not result in notable expander-induced growth neither for the short nor for the long protocol; larger filling volumes of 60 ml per inflation trigger skin adaptation, with larger expander-induced growth in regions of larger stretch, and more expander-induced growth for the 14-day compared to the 10-day expansion protocol. Our results suggest that expander-induced growth is not triggered by the local stretch alone. While stretch is clearly a driver for growth, the local stretch at a given point is not enough to predict the expander-induced growth at that location. From a clinical perspective, our study suggests that longer expansion protocols are needed to ensure sufficient growth of sizable skin patches. © 2018 Elsevier Ltd",TRUE,"Focuses on biomechanical modeling of tissue expansion without covering automatic prediction or evaluation of aesthetic results, so it doesn't fit the review on aesthetic assessment in surgery."
High-Frequency Ultrasonic Forceps for the in Vivo Detection of Cancer during Breast-Conserving Surgery,Doyle T.E.; Butler A.P.; Salisbury M.J.; Bennett M.J.; Wagner G.M.; Al-Ghaib H.A.; Matsen C.B.,2020,"Journal of Medical Devices, Transactions of the ASME",10.1115/1.4047115,"A major aim in the surgical management of soft tissue cancers is to detect and remove all cancerous tissues while ensuring noncancerous tissue remains intact. Breast-conserving surgery provides a prime illustration of this aim, since remaining cancer in breast margins results in multiple surgeries, while removal of too much unaffected tissue often has undesirable cosmetic effects. Similarly, resection of benign lymph nodes during sentinel lymph node biopsy can cause deleterious health outcomes. The objective of this study was to create an intraoperative, in vivo device to address these challenges. Instant diagnostic information generated by this device could allow surgeons to precisely and completely remove all malignant tissue during the first surgery. Surgical forceps based on Martin forceps were instrumented at the tips with high-frequency ultrasonic transducers composed of polyvinylidene difluoride, a thickness-sensing rotary potentiometer at the base, and a spring to provide the appropriate restoring force. Transducer wires within the forceps were connected to an external high-frequency pulser-receiver, activating the forceps' transmitting transducer at 50 MHz and amplifying through-transmission signals from the receiving transducer. The forceps were tested with tissue-mimicking agarose phantoms embedded with 58-550 μm polyethylene microspheres to simulate various stages of cancer progression and to provide a range of measurement values. Results were compared with measurements from standard 50 MHz immersion transducers. The results showed that the forceps displayed similar sensitivity for attenuation and increased accuracy for wave speed. The forceps could also be extended to endoscopes and laparoscopes. © 2021 American Society of Mechanical Engineers (ASME). All rights reserved.",TRUE,"Focuses on cancer detection technology during surgery, not on automatically predicting or evaluating aesthetic results in plastic or cancer-related surgeries."
A style-based generator architecture for generative adversarial networks,"Karras, Tero and Laine, Samuli and Aila, Timo",2019,,,NOT_FOUND_IN_BIB.,FALSE,
Mechanical properties of PVA material for tissue engineering applications,Karimi A.; Navidbakhsh M.,2014,Materials Technology,10.1179/1753555713Y.0000000115,"The paper presents the first scientific study of the quasi-linear viscoelastic (QLV) model of poly(vinyl alcohol) (PVA) sponges. The PVA sponges have been considered as a potential implant material for replacement and repair of the soft tissues, including cartilage, liver and kidney. It is also used in ophthalmic surgical treatment, such as Lasik, cataract and refractive surgeries, to manipulate tissue during incision procedures in the eye to absorb fluid. However, a critical barrier to the use of the PVA sponge as a tissue replacement material is the lack of sufficient mechanical properties. In this study, the non-linear mechanical behaviour of a PVA sponge is investigated experimentally and computationally. A series of tension tests are designed and conducted for the PVA sponge. Hyperelastic strain energy density functions, including Yeoh, Ogden, Mooney-Rivlin and Neo-Hookean, are calibrated using the experimental data. A hyperelastic constitutive model is selected to best fit the axial behaviour of the sponge. Its general prediction ability is verified using finite element simulations of PVA tensile experiments. The results in terms of the maximum stress before the holding for the P sponge demonstrate that it can bear 11–94% and 20–17% more stress compared to the EYETEC and CENEFOM sponges respectively. The swelling ratio of the P sponge was 26–78 and 1–78% more than that of the CENEFOM and EYETEC sponges respectively. Moreover, the Yeoh model was selected to represent the non-linear behaviour of the PVA material, which can be used in future biomechanical simulations of the soft tissues. These results can be utilised to understand the QLV and swelling mechanism of PVA sponges and have implications for ophthalmic and plastic surgeries, as well as wound healing and tissue engineering purposes. © 2014 W. S. Maney & Son Ltd.",TRUE,Talks about PVA material mechanics in tissue engineering but doesn’t cover automatic prediction or evaluation of how surgery looks.
Effect of orthopedic implants on canine long bone compression stiffness: a combined experimental and computational approach,Laurent C.P.; Böhme B.; Verwaerde J.; Papeleux L.; Ponthot J.-P.; Balligand M.,2020,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",10.1177/0954411919882603,"Osteosynthesis for canine long bones is a complex process requiring knowledge of biology, surgical techniques and (bio)mechanical principles. Subject-specific finite element analysis constitutes a promising tool to evaluate the effect of surgical intervention on the global properties of a bone–implant construct, but suffers from a lack of validation. In this study, the biomechanical behavior of 10 canine humeri was compared before and after creation of a 10 mm bone defect stabilized with an eight-hole locking compression plate (Synthes®) and two locking screws on each fragment. The response under compression of both intact and plated samples was measured experimentally and reproduced with a finite element model. The experimental stiffness ratio between plated and intact bone was equal to 0.39 ± 0.06. A subject-specific finite element analysis including density-dependent elasto-plastic material properties for canine bone and automatic generation of orthopedic implants was then conducted to recover these experimental results. The stiffness of intact and plated samples could be predicted, with no significant differences with experimental data. The simulated stiffness ratio between plated and intact canine bone was equal to 0.43 ± 0.03. This study constitutes a first step toward the building of a virtual database of pre-computed cases, aiming at helping the veterinary surgeons to make decisions regarding the most suited orthopedic solution for a given dog and a given fracture. © IMechE 2019.",FALSE,
Simulating contact using the elastic foundation algorithm in OpenSim,Hast M.W.; Hanson B.G.; Baxter J.R.,2019,Journal of Biomechanics,10.1016/j.jbiomech.2018.11.025,"Modeling joint contact in OpenSim is not well understood. This study systematically investigated the variables associated with the elastic foundation contact model within OpenSim by performing a series of controlled benchtop experiment and concomitant simulations. Four metal-on-plastic interactions were modeled, including a model of a total knee replacement (TKR). Load-displacement curves were recorded during cyclic loading between 100 and 750 N. Geometries were imported and into OpenSim and contact mechanics were modeled with the on-board elastic foundation algorithm. A hybrid optimization algorithm determined that stiffness and dissipation coefficients for TKR implants were 1.52 × 10^10 N/m and 57.7 Ns/m, respectively. Estimations of contact forces were 10.2% of blinded experimental data (average root mean square error: 76.82 ± 11.47 N). In the second portion of this study, freely available eTibia TKR renderings were used to test the ubiquity of the tuning parameters. They were also used to perform a sensitivity analysis of material stiffness and mesh density with regard to penetration depth and computational time. When a stiffness of 1 × 10^10 was applied to an eTibia model with 5000 faces, a 100 kg load caused 0.259 mm of penetration. Under the same conditions, the tuned model experienced 0.300 mm of penetration. Material stiffnesses between 1 × 10^13 and 1 × 10^15 N/m increased computation time by factors of 12–23. This study provides much needed clarity regarding the use of the OpenSim EF algorithm. It also demonstrates the utility of OpenSim to model deformable materials and complex geometries, and this approach can be adapted to make reasonable estimations for both natural and surgically modified joints. © 2018 Elsevier Ltd",TRUE,"Focuses on biomechanical joint modeling instead of predicting or evaluating aesthetic results in plastic or cancer surgery, which doesn't fit the review's topic."
Towards an Explainable Retrieval Approach for Predicting Post-Surgical Aesthetic Outcomes in Breast Cancer,"Ferreira, Pedro and Zolfagharnasab, Mohammad Hossein and Gon{\c{c}}alves, Tiago and Bonci, Eduard and Mavioso, Carlos and Cardoso, Maria J and Cardoso, Jaime S",2025,,,NOT_FOUND_IN_BIB.,FALSE,
Predicting Aesthetic Outcomes in Breast Cancer Surgery: A Multimodal Retrieval Approach,"Zolfagharnasab, Mohammad Hossein and Freitas, Nuno and Gon{\c{c}}alves, Tiago and Bonci, Eduard and Mavioso, Carlos and Cardoso, Maria J and Oliveira, H{\'e}lder P and Cardoso, Jaime S",2024,,,NOT_FOUND_IN_BIB.,FALSE,
Application of generative adversarial networks (GAN) for ophthalmology image domains: a survey,"You, Aram and Kim, Jin Kuk and Ryu, Ik Hee and Yoo, Tae Keun",2022,Eye and Vision,Springer,"Generative adversarial networks (GANs) have recently emerged as a powerful deep learning framework for image generation and transformation. In ophthalmology, GANs have been increasingly applied to various image domains, including fundus photography, optical coherence tomography (OCT), and fluorescein angiography, to address challenges such as data scarcity, image enhancement, and disease diagnosis. This survey provides a comprehensive review of the state-of-the-art applications of GANs in ophthalmic imaging. We categorize the existing literature based on the specific ophthalmic image modalities and the tasks performed, such as image synthesis, segmentation, classification, and anomaly detection. Furthermore, we discuss the advantages and limitations of GAN-based methods in ophthalmology, highlight the challenges faced in clinical translation, and suggest potential future research directions to advance the integration of GANs into ophthalmic practice. This survey aims to serve as a valuable resource for researchers and clinicians interested in leveraging GANs for ophthalmic image analysis and to foster further innovation in this rapidly evolving field.",FALSE,
