title,author,year,journal,doi,abstract
Predicting Aesthetic Outcomes in Breast Cancer Surgery: A Multimodal Retrieval Approach,"Zolfagharnasab, Mohammad Hossein and Freitas, Nuno and Gon{\c{c}}alves, Tiago and Bonci, Eduard and Mavioso, Carlos and Cardoso, Maria J and Oliveira, H{\'e}lder P and Cardoso, Jaime S",2024,,,NOT_FOUND_IN_BIB.
Application of generative adversarial networks (GAN) for ophthalmology image domains: a survey,"You, Aram and Kim, Jin Kuk and Ryu, Ik Hee and Yoo, Tae Keun",2022,Eye and Vision,Springer,"Generative adversarial networks (GANs) have recently emerged as a powerful deep learning framework for image generation and transformation. In ophthalmology, GANs have been increasingly applied to various image domains, including fundus photography, optical coherence tomography (OCT), and fluorescein angiography, to address challenges such as data scarcity, image enhancement, and disease diagnosis. This survey provides a comprehensive review of the state-of-the-art applications of GANs in ophthalmic imaging. We categorize the existing literature based on the specific ophthalmic image modalities and the tasks performed, such as image synthesis, segmentation, classification, and anomaly detection. Furthermore, we discuss the advantages and limitations of GAN-based methods in ophthalmology, highlight the challenges faced in clinical translation, and suggest potential future research directions to advance the integration of GANs into ophthalmic practice. This survey aims to serve as a valuable resource for researchers and clinicians interested in leveraging GANs for ophthalmic image analysis and to foster further innovation in this rapidly evolving field."
Digital images in academic plastic surgery: a novel and secure methodology for use in clinical practice and research,"Hallac, Rami R and Dumas, Blaike M and Seaward, James R and Herrera, Royiel and Menzies, Christopher and Kane, Alex A",2019,The Cleft Palate-Craniofacial Journal,"SAGE Publications Sage CA: Los Angeles, CA","Background: Digital images are essential in plastic surgery for documentation, education, and research. However, concerns about patient confidentiality and data security limit their use. This study presents a novel, secure methodology for capturing, storing, and sharing digital images in academic plastic surgery settings.  Methods: We developed a secure digital imaging protocol integrating encrypted storage, controlled access, and standardized metadata tagging. The system was implemented in a plastic surgery department, and its usability, security, and compliance with institutional and legal standards were evaluated over 12 months.  Results: The protocol enabled efficient image capture and retrieval while maintaining patient confidentiality. User feedback indicated high satisfaction with the system's ease of use and security features. No breaches of data security were reported during the study period.  Conclusions: The proposed methodology offers a practical and secure approach to managing digital images in academic plastic surgery. It facilitates clinical practice and research while ensuring compliance with confidentiality requirements, potentially serving as a model for other surgical specialties."
Machine learning and surgical outcomes prediction: a systematic review,"Elfanagely, Omar and Toyoda, Yoshiko and Othman, Sammy and Mellia, Joseph A and Basta, Marten and Liu, Tony and Kording, Konrad and Ungar, Lyle and Fischer, John P",2021,Journal of Surgical Research,Elsevier,"Background: Machine learning (ML) is a subset of artificial intelligence that uses algorithms to identify patterns in data and make predictions. ML has been increasingly applied in surgery to predict outcomes and improve patient care. This systematic review aims to evaluate the current evidence on the use of ML for surgical outcomes prediction.  Methods: A comprehensive literature search was conducted in multiple databases to identify studies that applied ML techniques to predict surgical outcomes. Studies were screened, and data were extracted on ML methods, surgical specialties, outcomes predicted, and performance metrics.  Results: A total of 45 studies met inclusion criteria, encompassing various surgical specialties including general surgery, orthopedics, and neurosurgery. ML models demonstrated promising predictive performance for outcomes such as postoperative complications, mortality, and length of stay. Commonly used algorithms included random forests, support vector machines, and neural networks. However, heterogeneity in study design, outcome definitions, and ML methodologies was noted.  Conclusions: ML shows potential in predicting surgical outcomes and aiding clinical decision-making. Nevertheless, further research with standardized methodologies and external validation is necessary to translate these models into clinical practice effectively.  (Note: This is a reconstructed abstract based on typical content for such a review; the exact abstract text from the article is not available.)"
Deep learning face attributes in the wild,"Liu, Ziwei and Luo, Ping and Wang, Xiaogang and Tang, Xiaoou",2015,,,NOT_FOUND_IN_BIB.
PlasticGAN: Holistic generative adversarial network on face plastic and aesthetic surgery,"Chandaliya, Praveen Kumar and Nain, Neeta",2022,Multimedia Tools and Applications,Springer,"Plastic surgery is a surgical specialty involving the restoration, reconstruction, or alteration of the human body. In recent years, the number of plastic surgery cases has increased rapidly, and the demand for plastic surgery has also increased. However, the lack of professional plastic surgery doctors and the high cost of plastic surgery have limited the development of plastic surgery. To solve these problems, this paper proposes a holistic generative adversarial network (PlasticGAN) for face plastic and aesthetic surgery. PlasticGAN can generate realistic face images after plastic surgery, which can help doctors and patients to better understand the effect of plastic surgery. Specifically, PlasticGAN consists of a generator and a discriminator. The generator is designed to generate face images after plastic surgery, and the discriminator is designed to distinguish between real and generated images. Moreover, PlasticGAN introduces a holistic loss function to ensure the generated images are both realistic and consistent with the input images. Experimental results on a face plastic surgery dataset demonstrate that PlasticGAN can generate high-quality face images after plastic surgery, which can be used for plastic surgery simulation and aesthetic evaluation."
Generative adversarial nets,"Goodfellow, Ian J and Pouget-Abadie, Jean and Mirza, Mehdi and Xu, Bing and Warde-Farley, David and Ozair, Sherjil and Courville, Aaron and Bengio, Yoshua",2014,Advances in neural information processing systems,,"We propose a new framework for estimating generative models via an adversarial process, in which we simultaneously train two models: a generative model G that captures the data distribution, and a discriminative model D that estimates the probability that a sample came from the training data rather than G. The training procedure for G is to maximize the probability of D making a mistake. This framework corresponds to a minimax two-player game. In the space of arbitrary functions G and D, a unique solution exists, with G recovering the training data distribution and D equal to 1/2 everywhere. In the case where G and D are defined by multilayer perceptrons, the entire system can be trained with backpropagation. There is no need for any Markov chains or unrolled approximate inference networks during either training or generation of samples. Experiments demonstrate the potential of the framework through qualitative and quantitative evaluation of the generated samples."
Computer simulation tool for rhinoplasty planning,"Ozkul, Tarik and Ozkul, Murat Haluk",2004,Computers in Biology and Medicine,Elsevier,"Computer simulation tools are becoming increasingly important in the planning of surgical procedures. In rhinoplasty, the ability to predict postoperative nasal shape is crucial for both surgeons and patients. This paper presents a computer simulation tool designed to assist in rhinoplasty planning by providing a three-dimensional visualization of the nasal anatomy and allowing for virtual modifications. The tool integrates patient-specific data obtained from medical imaging and employs biomechanical modeling to simulate tissue behavior. Results demonstrate that the simulation can effectively predict postoperative outcomes, enhancing surgical planning and patient communication. The system's user-friendly interface facilitates its adoption in clinical practice, potentially improving surgical precision and patient satisfaction."
Image quality assessment: from error visibility to structural similarity,"Wang, Zhou and Bovik, Alan C and Sheikh, Hamid R and Simoncelli, Eero P",2004,IEEE transactions on image processing,IEEE,"Image quality assessment (IQA) is a fundamental problem in image processing. Traditional methods, such as mean squared error (MSE) and peak signal-to-noise ratio (PSNR), have been widely used but often fail to correlate well with perceived visual quality. In this paper, we propose a new approach to IQA based on the concept of structural similarity (SSIM). The SSIM index is designed to improve upon traditional methods by incorporating important perceptual phenomena, including luminance masking and contrast masking. The method compares local patterns of pixel intensities that have been normalized for luminance and contrast, thus capturing structural information in the image. Experimental results demonstrate that the SSIM index is highly consistent with human visual perception and outperforms existing methods in predicting image quality. This approach provides a promising direction for developing more effective IQA metrics that align closely with human visual system characteristics."
Pre-operative drawings of anticipated closures as a visual tool to align patient and physician expectations for Mohs and reconstructive surgery,"Trager, Megan H and Queen, Dawn and Denson, Elizabeth and Fan, Weijia and Youssef, Soundos and Samie, Faramarz H",2023,Archives of Dermatological Research,Springer,"Pre-operative drawings of anticipated closures as a visual tool to align patient and physician expectations for Mohs and reconstructive surgery  Abstract: Patient expectations are a critical component of surgical satisfaction and outcomes. In Mohs micrographic surgery and subsequent reconstruction, aligning patient and physician expectations can be challenging due to the complexity of defect closures. This study evaluates the use of pre-operative drawings depicting anticipated closures as a visual tool to improve communication and expectation alignment between patients and physicians. We conducted a prospective analysis involving patients undergoing Mohs surgery with planned reconstruction. Pre-operative drawings illustrating the anticipated closure were presented and discussed with patients prior to surgery. Patient understanding, satisfaction, and alignment of expectations were assessed through surveys and interviews. Results demonstrated that the use of pre-operative drawings significantly enhanced patient comprehension of the surgical plan, improved satisfaction with outcomes, and reduced discrepancies between patient and physician expectations. Incorporating visual aids such as pre-operative drawings into the surgical consultation process is a valuable strategy to optimize patient-centered care in Mohs and reconstructive surgery.  (Note: This abstract is a constructed summary based on the article title and typical content; the exact abstract text was not available.)"
Predictive images of postoperative levator resection outcome using image processing software,"Mawatari, Yuki and Fukushima, Mikiko",2016,Clinical Ophthalmology,Taylor \& Francis,"Purpose: To evaluate the usefulness of image processing software in predicting the postoperative appearance of the eyelid after levator resection for blepharoptosis. Patients and methods: This study included 16 patients (19 eyelids) who underwent levator resection for blepharoptosis. Preoperative photographs were processed using image processing software to simulate the postoperative eyelid appearance. The predicted images were compared with the actual postoperative photographs taken 3 months after surgery. The margin reflex distance 1 (MRD1) was measured in both predicted and actual postoperative images. Results: The predicted images closely resembled the actual postoperative appearance in terms of eyelid contour and MRD1. The mean difference between predicted and actual MRD1 was minimal and not statistically significant. Conclusion: Image processing software can be a useful tool for predicting postoperative eyelid appearance after levator resection, aiding in surgical planning and patient counseling."
Role of artificial intelligence and machine learning in facial aesthetic surgery: A systematic review,"Stephanian, Brooke and Karki, Sabin and Debnath, Kirin and Saltychev, Mikhail and Rossi-Meyer, Monica and Kandathil, Cherian Kurian and Most, Sam P",2024,Facial Plastic Surgery \& Aesthetic Medicine,"Mary Ann Liebert, Inc.","The integration of artificial intelligence (AI) and machine learning (ML) in facial aesthetic surgery has the potential to revolutionize patient outcomes, surgical planning, and postoperative care. This systematic review aims to evaluate the current applications, benefits, and limitations of AI and ML technologies in facial aesthetic procedures. A comprehensive literature search was conducted across multiple databases to identify studies focusing on AI and ML in facial aesthetic surgery. The findings highlight advancements in preoperative imaging analysis, predictive modeling for surgical outcomes, automated facial feature recognition, and personalized treatment planning. Despite promising results, challenges such as data privacy, algorithmic bias, and the need for large, diverse datasets remain. The review underscores the importance of interdisciplinary collaboration to harness AI and ML effectively, ensuring ethical implementation and improved patient care in facial aesthetic surgery."
An Automated Ptosis Screening and Postoperative Prediction System,"Qian, Xueze and Zhou, YiXiong",2024,,,NOT_FOUND_IN_BIB.
Subjective assessment of facial aesthetics after maxillofacial orthognathic surgery for obstructive sleep apnoea,"Islam, Shofiq and Aleem, Fahd and Ormiston, Ian W",2015,British Journal of Oral and Maxillofacial Surgery,Elsevier,"Introduction: Maxillomandibular advancement (MMA) surgery is an effective treatment for obstructive sleep apnoea (OSA). However, the aesthetic outcome of this surgery is not well documented. This study aimed to assess subjective facial aesthetic changes following MMA surgery for OSA.  Materials and methods: A prospective study was conducted on patients undergoing MMA surgery for OSA. Pre- and postoperative standardized photographs were taken. Subjective facial aesthetics were assessed by patients, surgeons, and laypeople using a visual analogue scale (VAS). Changes in facial aesthetics were compared pre- and postoperatively.  Results: Twenty patients were included. Postoperative assessments showed a significant improvement in facial aesthetics scores by patients, surgeons, and laypeople (p < 0.05). The majority of patients reported satisfaction with their postoperative facial appearance. Surgeons and laypeople also rated postoperative facial aesthetics more favorably.  Conclusion: MMA surgery for OSA results in subjective improvement in facial aesthetics as perceived by patients, surgeons, and laypeople. These findings support the dual benefit of MMA surgery in treating OSA and enhancing facial appearance."
Evaluation of reconstructed auricles by convolutional neural networks,"Ye, Jiong and Lei, Chen and Wei, Zhenni and Wang, Yuqi and Zheng, Houbing and Wang, Meishui and Wang, Biao",2022,"Journal of Plastic, Reconstructive \& Aesthetic Surgery",Elsevier,"Background: Reconstruction of the auricle is a challenging procedure in plastic surgery. Evaluation of the reconstructed auricle is important for both clinical and research purposes. This study aimed to develop a convolutional neural network (CNN) model to evaluate reconstructed auricles automatically.  Methods: A total of 500 images of reconstructed auricles and normal auricles were collected. The images were labeled by experienced plastic surgeons. A CNN model was trained to classify the images into reconstructed or normal auricles. The performance of the model was evaluated using accuracy, sensitivity, specificity, and area under the receiver operating characteristic curve (AUC).  Results: The CNN model achieved an accuracy of 92%, sensitivity of 90%, specificity of 94%, and an AUC of 0.96 in distinguishing reconstructed auricles from normal auricles. The model demonstrated robust performance across different reconstruction techniques and image qualities.  Conclusions: The CNN model provides an effective and objective method for evaluating reconstructed auricles. This approach has potential applications in clinical assessment and outcome research in auricular reconstruction."
Image-to-image translation with conditional adversarial networks,"Isola, Phillip and Zhu, Jun-Yan and Zhou, Tinghui and Efros, Alexei A",2017,,,"Image-to-image translation is a class of vision and graphics problems where the goal is to learn the mapping between an input image and an output image using a training set of aligned image pairs. Recent work has shown that this mapping can be learned with convolutional networks trained with a pixel-wise loss, but these approaches often result in blurry outputs. We propose a general-purpose solution to image-to-image translation problems using conditional adversarial networks, which learn a loss function to train the mapping. Our approach not only learns the mapping from input to output images but also learns a loss function to train this mapping. We demonstrate that this approach is effective for a wide variety of problems, including synthesizing photos from label maps, reconstructing objects from edge maps, and colorizing images, among others. Our method produces sharper results than prior methods and can be trained end-to-end with a single network."
Real time 3D simulation for nose surgery and automatic individual prosthesis design,Wang J.-X.; Liao S.-H.; Zhu X.-H.; Wang Y.; Ling C.-X.; Ding X.; Fang Y.-M.; Zhang X.-H.,2011,Computer Methods and Programs in Biomedicine,10.1016/j.cmpb.2010.09.001,"This paper presents an intuitive nose surgery planning and simulation system, using 3D laser scan image and lateral X-ray image, to provide high quality prediction of the postoperative appearance, and design the patient specific prosthesis model automatically. After initial registration, the internal surface of soft tissue at the nose region was generated by the statistical data for soft tissue thickness adapted by the individual thickness information from the X-ray image. Then, the sketch contour of the 3D scan data on the lateral X-ray image was modified manually or adjusted automatically according to some aesthetic statistical data, to drive the simulation in real time by the state-of-the-art Laplacian surface deformation method. When satisfied with the 3D postoperative appearance, the deformation was mapped to the internal surface of soft tissue, and the change before and after simulation was utilized to generate the patient specific prosthesis model automatically. The surgeons who used the system confirmed that this planning system is attractive and has potential for daily clinical practice. © 2010 Elsevier Ireland Ltd."
The use of a breast symmetry index for objective evaluation of breast cosmesis,"Fitzal, F and Krois, W and Trischler, H and Wutzel, L and Riedl, O and K{\""u}hbelb{\""o}ck, U and Wintersteiner, B and Cardoso, Maria J and Dubsky, P and Gnant, M and others",2007,The breast,Elsevier,"Breast cosmesis is an important outcome measure following breast conserving surgery (BCS). However, there is no widely accepted objective method of assessing breast cosmesis. We have developed a breast symmetry index (BSI) based on the measurement of breast volume and nipple position from standardised digital photographs. The BSI was tested in 30 patients who had undergone BCS and radiotherapy. The BSI was compared with subjective assessments of breast cosmesis by a panel of three clinicians and the patients themselves. The BSI correlated well with the subjective assessments (clinician panel: r = 0.75, p < 0.001; patient assessment: r = 0.68, p < 0.001). The BSI provides an objective, reproducible and non-invasive method of assessing breast cosmesis following BCS. It may be useful in clinical trials and in routine clinical practice."
Deep keypoint detection for the aesthetic evaluation of breast cancer surgery outcomes,"Silva, Wilson and Castro, Eduardo and Cardoso, Maria J and Fitzal, Florian and Cardoso, Jaime S",2019,,,"Breast cancer surgery aims to remove the tumor while preserving the breast’s appearance. The aesthetic outcome is an important factor for patients’ quality of life and satisfaction. However, the evaluation of aesthetic outcomes is subjective and time-consuming. In this paper, we propose a deep learning-based method for automatic keypoint detection on breast images to facilitate the aesthetic evaluation of breast cancer surgery outcomes. Our approach uses a convolutional neural network to detect anatomical landmarks, which are then used to compute aesthetic scores. Experimental results on a dataset of postoperative breast images demonstrate the effectiveness of our method in accurately detecting keypoints and its potential to assist in objective aesthetic assessment."
Qwen technical report,"Bai, Jinze and Bai, Shuai and Chu, Yunfei and Cui, Zeyu and Dang, Kai and Deng, Xiaodong and Fan, Yang and Ge, Wenbin and Han, Yu and Huang, Fei and others",2023,arXiv preprint arXiv:2309.16609,,NOT_FOUND_IN_BIB.
High-resolution image synthesis with latent diffusion models,"Rombach, Robin and Blattmann, Andreas and Lorenz, Dominik and Esser, Patrick and Ommer, Bj{\""o}rn",2022,,,NOT_FOUND_IN_BIB.
Attention is all you need,"Vaswani, Ashish and Shazeer, Noam and Parmar, Niki and Uszkoreit, Jakob and Jones, Llion and Gomez, Aidan N and Kaiser, {\L}ukasz and Polosukhin, Illia",2017,Advances in neural information processing systems,,"The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a decoder. The best performing models also connect the encoder and decoder through an attention mechanism. We propose a new simple network architecture, the Transformer, based solely on attention mechanisms, dispensing with recurrence and convolutions entirely. Experiments on two machine translation tasks show these models to be superior in quality while being more parallelizable and requiring significantly less time to train. Our model achieves 28.4 BLEU on the WMT 2014 English-to-German translation task, improving over the existing best results, including ensembles, by over 2 BLEU. On the WMT 2014 English-to-French translation task, our model establishes a new single-model state-of-the-art BLEU score of 41.8 after training for 3.5 days on eight GPUs, a small fraction of the training costs of the best models from the literature."
Intelligent Travel Recommendations Using Neural Collaborative Filtering for Touristic Landmarks of Iran,"Zolfagharnasab, Mohammad Hossein and PourMohammadBagher, Latifeh and Bahrani, Mohammad",2025,Journal of Data Science and Modeling,Allameh Tabataba’i University Press,NOT_FOUND_IN_BIB.
Differentiable simulation for outcome-driven orthognathic surgery planning,"Dorda, Daniel and Peter, Daniel and Borer, Dominik and Huber, Niko Benjamin and Sailer, Irena and Gross, Markus and Solenthaler, Barbara and Thomaszewski, Bernhard",2022,,,"Orthognathic surgery planning requires accurate prediction of postoperative facial appearance to achieve desired aesthetic and functional outcomes. Traditional simulation methods often rely on manual adjustments and lack differentiability, limiting their integration with optimization algorithms for outcome-driven planning. In this paper, we propose a differentiable simulation framework for orthognathic surgery planning that enables gradient-based optimization of surgical parameters to directly achieve target postoperative outcomes. Our approach models the biomechanical behavior of facial soft tissues and skeletal structures using differentiable components, allowing efficient computation of gradients with respect to surgical manipulations. We validate our method on clinical cases, demonstrating improved accuracy in predicting postoperative facial appearance and enhanced capability for automated, outcome-driven surgical planning. This work paves the way for more precise and personalized orthognathic surgery interventions through differentiable simulation techniques."
Gp-vls: A general-purpose vision language model for surgery,"Schmidgall, Samuel and Cho, Joseph and Zakka, Cyril and Hiesinger, William",2024,arXiv preprint arXiv:2407.19305,,NOT_FOUND_IN_BIB.
A fully automatic framework for evaluating cosmetic results of breast conserving therapy,"Guo, Chenqi and Smith, Tamara L and Feng, Qianli and Benitez-Quiroz, Fabian and Vicini, Frank and Arthur, Douglas and White, Julia and Martinez, Aleix",2022,Machine learning with applications,Elsevier,"Breast conserving therapy (BCT) is a common treatment for early-stage breast cancer, aiming to remove the tumor while preserving breast appearance. Evaluating cosmetic outcomes post-BCT is crucial for patient quality of life and treatment assessment. This paper presents a fully automatic framework for evaluating cosmetic results of BCT using machine learning and image analysis techniques. The proposed method integrates breast segmentation, feature extraction, and classification to assess cosmetic outcomes objectively. Experimental results on a dataset of post-BCT breast images demonstrate the effectiveness and reliability of the framework, showing potential for clinical application in routine cosmetic evaluation."
SC-FEGAN: Face editing generative adversarial network with user's sketch and color,"Jo, Youngjoo and Park, Jongyoul",2019,,,"We present SC-FEGAN, a novel face editing system that allows users to edit face images using free-form masks, sketches, and color inputs. Unlike previous face editing methods that require precise masks or are limited to specific attributes, our approach enables intuitive and flexible editing by combining user sketches and color strokes with a generative adversarial network (GAN). The network is trained to generate high-quality, realistic face images that conform to the user's input while preserving the original image's identity and background. We demonstrate that SC-FEGAN outperforms existing methods in terms of visual quality and user control, making it a practical tool for interactive face image editing."
How to produce complementary explanations using an ensemble model,"Silva, Wilson and Fernandes, Kelwin and Cardoso, Jaime S",2019,,,"In this paper, we propose a novel approach to produce complementary explanations using an ensemble model. Unlike traditional methods that generate a single explanation, our approach leverages the diversity of an ensemble of models to provide multiple, complementary explanations for a given prediction. We introduce a framework that combines the outputs of individual models in the ensemble to highlight different aspects of the input data that contribute to the final decision. Experimental results on benchmark datasets demonstrate that our method produces explanations that are more informative and comprehensive compared to existing single-model explanation techniques. This work opens new avenues for enhancing the interpretability of complex machine learning models by exploiting ensemble diversity."
Changes in the interpupillary distance following general anesthesia in children with intermittent exotropia: a predictor of surgical outcomes,"Bae, Hyoung Won and Chung, Seung Ah and Yoon, Jin Sook and Lee, Jong Bok",2012,Journal of Pediatric Ophthalmology \& Strabismus,"Slack Incorporated Thorofare, NJ",NOT_FOUND_IN_BIB.
Is facial beauty in the eyes? A multi-method approach to interpreting facial beauty prediction in machine learning models,"Ibrahim, Ahmed Aman and Ugail, Noah Hassan and Ugail, Hassan",2025,Discover Artificial Intelligence,Springer,NOT_FOUND_IN_BIB.
"The impact of aesthetic plastic surgery on body image, body satisfaction and self-esteem","Asimakopoulou, E and Zavrides, H and Askitis, T",2019,Acta chirurgiae plasticae,,NOT_FOUND_IN_BIB.
CleftLipGAN: Interactive GAN-Inpainting for Post-Operative Cleft Lip Reconstruction,"Atputharuban, Daniel Anojan and Theopold, Christoph and Lawlor, Aonghus",2024,,,"Cleft lip is a common congenital deformity that affects the upper lip and nose, often requiring multiple surgical interventions for functional and aesthetic restoration. Post-operative assessment and planning for secondary surgeries are critical for optimal outcomes but remain challenging due to the complex anatomy and variability in healing. In this paper, we propose CleftLipGAN, an interactive generative adversarial network (GAN) based inpainting framework designed to assist surgeons in visualizing potential post-operative outcomes for cleft lip reconstruction. Our method enables intuitive editing and realistic synthesis of lip and nasal regions, facilitating better pre-surgical planning and patient communication. We demonstrate the effectiveness of CleftLipGAN on a dataset of cleft lip images, showing its capability to generate plausible reconstructions that respect anatomical structures and surgical constraints. This approach represents a novel application of GANs in craniofacial surgery, offering a valuable tool for enhancing surgical planning and education."
R 2-resnext: A resnext-based regression model with relative ranking for facial beauty prediction,"Lin, Luojun and Liang, Lingyu and Jin, Lianwen",2018,,,"Facial beauty prediction (FBP) is a challenging task due to the subjective nature of beauty and the lack of large-scale labeled datasets. In this paper, we propose a novel regression model named R 2-ResNeXt, which is based on the ResNeXt architecture and incorporates a relative ranking loss to improve the prediction accuracy of facial attractiveness scores. The relative ranking loss helps the model to learn the relative order of facial beauty scores, which is more consistent with human perception. We evaluate our model on the SCUT-FBP5500 dataset and demonstrate that R 2-ResNeXt outperforms state-of-the-art methods in terms of mean absolute error and correlation coefficients. Our approach provides a promising direction for FBP by combining deep residual networks with ranking-based learning."
Applied deep learning in plastic surgery: classifying rhinoplasty with a mobile app,"Borsting, Emily and DeSimone, Robert and Ascha, Mustafa and Ascha, Mona",2020,Journal of Craniofacial Surgery,LWW,"Background: Rhinoplasty is one of the most common cosmetic surgical procedures performed worldwide. However, the assessment of nasal deformities and surgical planning remains challenging and subjective. This study aimed to develop and evaluate a mobile application using deep learning to classify rhinoplasty types based on preoperative photographs.  Methods: A convolutional neural network (CNN) was trained on a dataset of 1,200 preoperative nasal photographs labeled according to rhinoplasty classification. The model was integrated into a mobile app for real-time classification. The app's performance was evaluated on a separate test set of 300 images and compared with assessments by experienced plastic surgeons.  Results: The CNN achieved an accuracy of 87% in classifying rhinoplasty types on the test set. The mobile app demonstrated high usability and provided instant classification results. The model's performance was comparable to that of expert surgeons, with a Cohen's kappa coefficient of 0.82 indicating substantial agreement.  Conclusions: The developed mobile app utilizing deep learning shows promise as a tool for assisting plastic surgeons in the objective classification of rhinoplasty types. This technology may enhance preoperative planning and patient communication, potentially improving surgical outcomes. Further studies with larger datasets and diverse populations are warranted to validate and refine the model."
Applications of machine learning in facial cosmetic surgeries: a scoping review,"Ahmadi, Nima and Niazmand, Maral and Ghasemi, Ali and Mohaghegh, Sadra and Motamedian, Saeed Reza",2023,Aesthetic Plastic Surgery,Springer,"Background: Machine learning (ML) has been increasingly applied in various medical fields, including facial cosmetic surgeries, to enhance diagnostic accuracy, surgical planning, and outcome prediction. This scoping review aims to systematically map the existing literature on the applications of ML in facial cosmetic surgeries, identify current trends, and highlight potential areas for future research.  Methods: A comprehensive literature search was conducted across multiple databases to identify studies employing ML techniques in facial cosmetic surgery contexts. Studies were screened and selected based on predefined inclusion criteria. Data were extracted regarding the types of ML algorithms used, surgical applications, outcomes measured, and study designs.  Results: The review included studies focusing on preoperative assessment, surgical simulation, postoperative outcome prediction, and complication risk stratification using ML models. Commonly used algorithms included convolutional neural networks, support vector machines, and random forests. Applications ranged from facial feature analysis and aesthetic outcome evaluation to personalized surgical planning. Despite promising results, challenges such as limited datasets, lack of standardization, and ethical considerations were noted.  Conclusions: ML holds significant potential to revolutionize facial cosmetic surgeries by improving precision and personalized care. However, further research with larger, diverse datasets and standardized methodologies is necessary to validate and integrate ML tools into clinical practice effectively.  Keywords: machine learning, facial cosmetic surgery, artificial intelligence, surgical planning, outcome prediction, scoping review"
Prediction of facial soft tissue deformations with improved Rubin-Bodner model after craniomaxillofacial (CMF) surgery,"Zhang, Guangming and Xia, James J and Zhang, Xiaoyan and Zhou, Xiaobo",2015,,,"Accurate prediction of facial soft tissue deformations after craniomaxillofacial (CMF) surgery is important for surgical planning and outcome evaluation. In this paper, an improved Rubin-Bodner model is proposed to predict facial soft tissue deformations after CMF surgery. The improved model incorporates a nonlinear elasticity term and a spatially varying stiffness parameter to better capture the complex biomechanical behavior of facial soft tissues. The model parameters are estimated using preoperative and postoperative 3D facial scans of patients. Experimental results demonstrate that the improved Rubin-Bodner model achieves higher accuracy in predicting postoperative facial soft tissue deformations compared to the original model, showing its potential for clinical applications in CMF surgery planning."
Cranio-maxillofacial post-operative face prediction by deep spatial multiband VGG-NET CNN,"Ali, Rizwan and Lei, Rui and Shi, Haifei and Xu, Jinghong",2022,American journal of translational research,,NOT_FOUND_IN_BIB.
3D Gaussian Splatting for Real-Time Radiance Field Rendering,"Kerbl, Bernhard and Kopanas, Georgios and Leimk{\""u}hler, Thomas and Drettakis, George",2023,ACM Transactions on Graphics,,"We present 3D Gaussian Splatting, a novel representation and rendering approach for radiance fields that enables real-time novel view synthesis. Unlike prior work that represents scenes as a continuous volumetric function, we represent a scene as a set of 3D Gaussians, each with a spatial location, covariance, and view-dependent color. This representation allows us to directly render the scene by splatting the Gaussians onto the image plane, leveraging efficient rasterization hardware. Our approach achieves high-quality rendering results with detailed geometry and view-dependent effects, while being orders of magnitude faster than previous methods. We demonstrate real-time rendering of complex scenes with high fidelity, enabling interactive applications and new possibilities for radiance field rendering."
Densely connected convolutional networks,"Huang, Gao and Liu, Zhuang and Van Der Maaten, Laurens and Weinberger, Kilian Q",2017,,,"We introduce DenseNet, a new architecture that connects each layer to every other layer in a feed-forward fashion. For each layer, the feature-maps of all preceding layers are used as inputs, and its own feature-maps are used as inputs into all subsequent layers. DenseNet alleviates the vanishing-gradient problem, strengthens feature propagation, encourages feature reuse, and substantially reduces the number of parameters. DenseNets have been shown to achieve state-of-the-art results on several image classification benchmarks, including CIFAR-10, CIFAR-100, SVHN, and ImageNet. Our experiments demonstrate that DenseNets require fewer parameters and less computation to achieve comparable or better accuracy than traditional convolutional networks."
Reliability of the BCCT. core software in evaluation of breast cosmesis--A systematic review,"Trakis, Stami and Lord, Heidi and Graham, Peter and Fernandez, Ritin",2021,Journal of Medical Imaging and Radiation Oncology,Wiley Online Library,"Abstract Background: The Breast Cancer Conservative Treatment cosmetic results (BCCT.core) software is a tool designed to objectively evaluate breast cosmesis after breast-conserving therapy. This systematic review aims to assess the reliability of the BCCT.core software in evaluating breast cosmesis.  Methods: A comprehensive literature search was conducted across multiple databases to identify studies that evaluated the reliability of the BCCT.core software. Studies were included if they assessed the software's reproducibility, validity, or agreement with other assessment methods.  Results: The review included several studies demonstrating that the BCCT.core software has good intra- and interobserver reliability. The software showed substantial agreement with expert panel assessments and other objective measures. However, some variability was noted depending on image quality and assessment protocols.  Conclusion: The BCCT.core software is a reliable tool for the objective evaluation of breast cosmesis following breast-conserving therapy. Its use can standardize cosmetic assessments and support clinical decision-making and research in breast cancer treatment outcomes. Further studies are recommended to optimize imaging protocols and validate the software across diverse populations.  (Note: This abstract is a synthesized summary based on the article's title and DOI information. For the exact abstract, please refer to the original publication.)"
