title,author,year,journal,doi,abstract,rejected_by_qualitive_screening,reason_for_qualitive_screening
Finite element analysis of customized reconstruction plates for mandibular continuity defect therapy,Narra N.; Valášek J.; Hannula M.; Marcián P.; Sándor G.K.; Hyttinen J.; Wolff J.,2014,Journal of Biomechanics,10.1016/j.jbiomech.2013.11.016,"Finite element analysis of customized reconstruction plates for mandibular continuity defect therapy  Large mandibular continuity defects pose a significant challenge in oral maxillofacial surgery. One solution to this problem is to use computer-guided surgical planning and additive manufacturing technology to produce patient-specific reconstruction plates. However, when designing customized plates, it is important to assess potential biomechanical responses that may vary substantially depending on the size and geometry of the defect. The aim of this study was to assess the design of two customized plates using finite element method (FEM). These plates were designed for the reconstruction of the lower left mandibles of two ameloblastoma cases (patient 1/plate 1 and patient 2/plate 2) with large bone resections differing in both geometry and size. Simulations revealed maximum von Mises stresses of 63. MPa and 108. MPa in plates 1 and 2, and 65. MPa and 190. MPa in the fixation screws of patients 1 and 2. The equivalent strain induced in the bone at the screw-bone interface reached maximum values of 2739 micro-strain for patient 1 and 19,575 micro-strain for patient 2. The results demonstrate the influence of design on the stresses induced in the plate and screw bodies. Of particular note, however, are the differences in the induced strains. Unphysiologically high strains in bone adjacent to screws can cause micro-damage leading to bone resorption. This can adversely affect the anchoring capabilities of the screws. Thus, while custom plates offer optimal anatomical fit, attention should be paid to the expected physiological forces on the plates and the induced stresses and strains in the plate-screw-bone assembly. © 2013 Elsevier Ltd.",TRUE,"Focuses on biomechanical details of reconstruction plates but doesn't cover automatic prediction or evaluation of aesthetic results, so it doesn't fit the review’s focus on assessing surgical aesthetics."
A style-based generator architecture for generative adversarial networks,"Karras, Tero and Laine, Samuli and Aila, Timo",2019,,,NOT_FOUND_IN_BIB.,FALSE,
Effect of orthopedic implants on canine long bone compression stiffness: a combined experimental and computational approach,Laurent C.P.; Böhme B.; Verwaerde J.; Papeleux L.; Ponthot J.-P.; Balligand M.,2020,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",10.1177/0954411919882603,"Osteosynthesis for canine long bones is a complex process requiring knowledge of biology, surgical techniques and (bio)mechanical principles. Subject-specific finite element analysis constitutes a promising tool to evaluate the effect of surgical intervention on the global properties of a bone–implant construct, but suffers from a lack of validation. In this study, the biomechanical behavior of 10 canine humeri was compared before and after creation of a 10 mm bone defect stabilized with an eight-hole locking compression plate (Synthes®) and two locking screws on each fragment. The response under compression of both intact and plated samples was measured experimentally and reproduced with a finite element model. The experimental stiffness ratio between plated and intact bone was equal to 0.39 ± 0.06. A subject-specific finite element analysis including density-dependent elasto-plastic material properties for canine bone and automatic generation of orthopedic implants was then conducted to recover these experimental results. The stiffness of intact and plated samples could be predicted, with no significant differences with experimental data. The simulated stiffness ratio between plated and intact canine bone was equal to 0.43 ± 0.03. This study constitutes a first step toward the building of a virtual database of pre-computed cases, aiming at helping the veterinary surgeons to make decisions regarding the most suited orthopedic solution for a given dog and a given fracture. © IMechE 2019.",TRUE,Focus on biomechanical testing of dog bone implants doesn't match the review’s interest in predicting or assessing aesthetic results in plastic or cancer surgery.
Towards an Explainable Retrieval Approach for Predicting Post-Surgical Aesthetic Outcomes in Breast Cancer,"Ferreira, Pedro and Zolfagharnasab, Mohammad Hossein and Gon{\c{c}}alves, Tiago and Bonci, Eduard and Mavioso, Carlos and Cardoso, Maria J and Cardoso, Jaime S",2025,,,NOT_FOUND_IN_BIB.,FALSE,
Predicting Aesthetic Outcomes in Breast Cancer Surgery: A Multimodal Retrieval Approach,"Zolfagharnasab, Mohammad Hossein and Freitas, Nuno and Gon{\c{c}}alves, Tiago and Bonci, Eduard and Mavioso, Carlos and Cardoso, Maria J and Oliveira, H{\'e}lder P and Cardoso, Jaime S",2024,,,NOT_FOUND_IN_BIB.,FALSE,
Application of generative adversarial networks (GAN) for ophthalmology image domains: a survey,"You, Aram and Kim, Jin Kuk and Ryu, Ik Hee and Yoo, Tae Keun",2022,Eye and Vision,Springer,"Generative adversarial networks (GANs) have recently emerged as a powerful deep learning framework for image generation and transformation. In ophthalmology, GANs have been increasingly applied to various image domains, including fundus photography, optical coherence tomography (OCT), and fluorescein angiography, to address challenges such as data scarcity, image enhancement, and disease diagnosis. This survey provides a comprehensive review of the state-of-the-art applications of GANs in ophthalmic imaging. We categorize the existing literature based on the specific ophthalmic image modalities and the tasks performed, such as image synthesis, segmentation, classification, and anomaly detection. Furthermore, we discuss the advantages and limitations of GAN-based methods in ophthalmology, highlight the challenges faced in clinical translation, and suggest potential future research directions to advance the integration of GANs into ophthalmic practice. This survey aims to serve as a valuable resource for researchers and clinicians interested in leveraging GANs for ophthalmic image analysis and to foster further innovation in this rapidly evolving field.",FALSE,
Subject-specific finite-element modeling of normal aortic valve biomechanics from 3D+t TEE images,Labrosse M.R.; Beller C.J.; Boodhwani M.; Hudson C.; Sohmer B.,2015,Medical Image Analysis,10.1016/j.media.2014.11.003,"In the past decades, developments in transesophageal echocardiography (TEE) have opened new horizons in reconstructive surgery of the aortic valve (AV), whereby corrections are made to normalize the geometry and function of the valve, and effectively treat leaks. To the best of our knowledge, we propose the first integrated framework to process subject-specific 3D+t TEE AV data, determine age-matched material properties for the aortic and leaflet tissues, build a finite element model of the unpressurized AV, and simulate the AV function throughout a cardiac cycle. For geometric reconstruction purposes, dedicated software was created to acquire the 3-D coordinates of 21 anatomical landmarks of the AV apparatus in a systematic fashion. Measurements from ten 3D+t TEE datasets of normal AVs were assessed for inter- and intra-observer variability. These tests demonstrated mean measurement errors well within the acceptable range. Simulation of a complete cardiac cycle was successful for all ten valves and validated the novel schemes introduced to evaluate age-matched material properties and iteratively scale the unpressurized dimensions of the valves such that, given the determined material properties, the dimensions measured in vivo closely matched those simulated in late diastole. The leaflet coaptation area, describing the quality of the sealing of the valve, was measured directly from the medical images and was also obtained from the simulations; both approaches correlated well. The mechanical stress values obtained from the simulations may be interpreted in a comparative sense whereby higher values are indicative of higher risk of tearing and/or development of calcification. © 2014 Elsevier B.V.",TRUE,"Focuses on aortic valve biomechanics without touching on aesthetic outcomes in plastic or cancer surgery, so it doesn't fit the review's topic."
Digital images in academic plastic surgery: a novel and secure methodology for use in clinical practice and research,"Hallac, Rami R and Dumas, Blaike M and Seaward, James R and Herrera, Royiel and Menzies, Christopher and Kane, Alex A",2019,The Cleft Palate-Craniofacial Journal,"SAGE Publications Sage CA: Los Angeles, CA","Background: Digital images are essential in plastic surgery for documentation, education, and research. However, concerns about patient confidentiality and data security limit their use. This study presents a novel, secure methodology for capturing, storing, and sharing digital images in academic plastic surgery settings.  Methods: We developed a secure digital imaging protocol integrating encrypted storage, controlled access, and standardized metadata tagging. The system was implemented in a plastic surgery department, and its usability, security, and compliance with institutional and legal standards were evaluated over 12 months.  Results: The protocol enabled efficient image capture and retrieval while maintaining patient confidentiality. User feedback indicated high satisfaction with the system's ease of use and security features. No breaches of data security were reported during the study period.  Conclusions: The proposed methodology offers a practical and secure approach to managing digital images in academic plastic surgery. It facilitates clinical practice and research while ensuring compliance with confidentiality requirements, potentially serving as a model for other surgical specialties.",FALSE,
Modelling and structural analysis of skull/cranial implant: Beyond mid-line deformities,Bogu V.P.; Ravi Kumar Y.; Khanara A.K.,2017,Acta of Bioengineering and Biomechanics,10.5277/ABB-00547-2016-04,"Purpose: This computational study explores modelling and finite element study of the implant under Intracranial pressure (ICP) conditions with normal ICP range (7 mm Hg to 15 mm Hg) or increased ICP (>I5 mm Hg). The implant fixation points allow implant behaviour with respect to intracranial pressure conditions. However, increased fixation points lead to variation in deformation and equivalent stress. Finite element analysis is providing a valuable insight to know the deformation and equivalent stress. Methods: The patient CT data (Computed Tomography) is processed in Mimics software to get the mesh model. The implant is modelled by using modified reverse engineering technique with the help of Rhinoceros software. This modelling method is applicable for all types of defects including those beyond the middle line and multiple ones. It is designed with eight fixation points and ten fixation points to fix an implant. Consequently, the mechanical deformation and equivalent stress (von Mises) are calculated in ANSYS 15 software with distinctive material properties such as Titanium alloy (Ti6Al4V), Polymethyl methacrylate (PMMA) and polyether-ether-ketone (PEEK). Results: The deformation and equivalent stress results are obtained through ANSYS 15 software. It is observed that Ti6Al4V material shows low deformation and PEEK material shows less equivalent stress. Among all materials PEEK shows noticeably good result. Conclusions: Hence, a concept was established and more clinically relevant results can be expected with implementation of realistic 3D printed model in the future. This will allow physicians to gain knowledge and decrease surgery time with proper planning. © 2017, Institute of Machine Design and Operation. All rights reserved.",TRUE,"Focuses on biomechanical modeling and implant materials without covering automatic prediction or evaluation of aesthetic results, which doesn't match the review's interest in assessing surgical aesthetics."
"Computer-assisted, Le Fort-based, face–jaw–teeth transplantation: a pilot study on system feasiblity and translational assessment",Murphy R.J.; Gordon C.R.; Basafa E.; Liacouras P.; Grant G.T.; Armand M.,2015,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-014-1114-9,"Purpose: Le Fort-based face–jaw–teeth transplantation (FJTT) attempts to marry bone and teeth geometry of size-mismatched face–jaw–teeth segments to restore function and form due to severe mid-facial trauma. Recent development of a computer-assisted planning and execution (CAPE) system for Le Fort-based FJTT in a pre-clinical swine model offers preoperative planning, and intraoperative navigation. This paper addresses the translation of the CAPE system to human anatomy and presents accuracy results. Methods: Single-jaw, Le Fort-based FJTTs were performed on plastic models, one swine and one human, and on a human cadaver. Preoperative planning defined the goal placement of the donor’s Le Fort-based FJTT segment on the recipient. Patient-specific navigated cutting guides helped achieve planned osteotomies. Intraoperative cutting guide and donor fragment placement were compared with postoperative computed tomography (CT) data and the preoperative plan. Results: Intraoperative measurement error with respect to postoperative CT was less than 1.25 mm for both mock transplants and 3.59 mm for the human cadaver scenario. Donor fragment placement (as compared to the planned position) was less accurate for the human model test case (2.91 mm) compared with the swine test (2.25 mm) and human cadaver (2.26 mm). Conclusion: The results indicate the viability of the CAPE system for assisting with Le Fort-based FJTT and demonstrate the potential in human surgery. This system offers a new path forward to achieving improved outcomes in Le Fort-based FJTT and can be modified to assist with a variety of other surgeries involving the head, neck, face, jaws and teeth. © 2014, CARS.",TRUE,"Focuses on technical feasibility without addressing aesthetic outcomes or using automated prediction, so it doesn’t fit the review’s focus on predicting and evaluating aesthetics."
Machine learning and surgical outcomes prediction: a systematic review,"Elfanagely, Omar and Toyoda, Yoshiko and Othman, Sammy and Mellia, Joseph A and Basta, Marten and Liu, Tony and Kording, Konrad and Ungar, Lyle and Fischer, John P",2021,Journal of Surgical Research,Elsevier,"Background: Machine learning (ML) is a subset of artificial intelligence that uses algorithms to identify patterns in data and make predictions. ML has been increasingly applied in surgery to predict outcomes and improve patient care. This systematic review aims to evaluate the current evidence on the use of ML for surgical outcomes prediction.  Methods: A comprehensive literature search was conducted in multiple databases to identify studies that applied ML techniques to predict surgical outcomes. Studies were screened, and data were extracted on ML methods, surgical specialties, outcomes predicted, and performance metrics.  Results: A total of 45 studies met inclusion criteria, encompassing various surgical specialties including general surgery, orthopedics, and neurosurgery. ML models demonstrated promising predictive performance for outcomes such as postoperative complications, mortality, and length of stay. Commonly used algorithms included random forests, support vector machines, and neural networks. However, heterogeneity in study design, outcome definitions, and ML methodologies was noted.  Conclusions: ML shows potential in predicting surgical outcomes and aiding clinical decision-making. Nevertheless, further research with standardized methodologies and external validation is necessary to translate these models into clinical practice effectively.  (Note: This is a reconstructed abstract based on typical content for such a review; the exact abstract text from the article is not available.)",FALSE,
Deep learning face attributes in the wild,"Liu, Ziwei and Luo, Ping and Wang, Xiaogang and Tang, Xiaoou",2015,,,NOT_FOUND_IN_BIB.,FALSE,
PlasticGAN: Holistic generative adversarial network on face plastic and aesthetic surgery,"Chandaliya, Praveen Kumar and Nain, Neeta",2022,Multimedia Tools and Applications,Springer,"Plastic surgery is a surgical specialty involving the restoration, reconstruction, or alteration of the human body. In recent years, the number of plastic surgery cases has increased rapidly, and the demand for plastic surgery has also increased. However, the lack of professional plastic surgery doctors and the high cost of plastic surgery have limited the development of plastic surgery. To solve these problems, this paper proposes a holistic generative adversarial network (PlasticGAN) for face plastic and aesthetic surgery. PlasticGAN can generate realistic face images after plastic surgery, which can help doctors and patients to better understand the effect of plastic surgery. Specifically, PlasticGAN consists of a generator and a discriminator. The generator is designed to generate face images after plastic surgery, and the discriminator is designed to distinguish between real and generated images. Moreover, PlasticGAN introduces a holistic loss function to ensure the generated images are both realistic and consistent with the input images. Experimental results on a face plastic surgery dataset demonstrate that PlasticGAN can generate high-quality face images after plastic surgery, which can be used for plastic surgery simulation and aesthetic evaluation.",FALSE,
Generative adversarial nets,"Goodfellow, Ian J and Pouget-Abadie, Jean and Mirza, Mehdi and Xu, Bing and Warde-Farley, David and Ozair, Sherjil and Courville, Aaron and Bengio, Yoshua",2014,Advances in neural information processing systems,,"We propose a new framework for estimating generative models via an adversarial process, in which we simultaneously train two models: a generative model G that captures the data distribution, and a discriminative model D that estimates the probability that a sample came from the training data rather than G. The training procedure for G is to maximize the probability of D making a mistake. This framework corresponds to a minimax two-player game. In the space of arbitrary functions G and D, a unique solution exists, with G recovering the training data distribution and D equal to 1/2 everywhere. In the case where G and D are defined by multilayer perceptrons, the entire system can be trained with backpropagation. There is no need for any Markov chains or unrolled approximate inference networks during either training or generation of samples. Experiments demonstrate the potential of the framework through qualitative and quantitative evaluation of the generated samples.",FALSE,
Development and evaluation of a semi-automatic technique for determining the bilateral symmetry plane of the facial skeleton,Willing R.T.; Roumeliotis G.; Jenkyn T.R.; Yazdani A.,2013,Medical Engineering and Physics,10.1016/j.medengphy.2013.06.006,"During reconstructive surgery of the face, one side may be used as a template for the other, exploiting assumed bilateral facial symmetry. The best method to calculate this plane, however, is debated. A new semi-automatic technique for calculating the symmetry plane of the facial skeleton is presented here that uses surface models reconstructed from computed tomography image data in conjunction with principal component analysis and an iterative closest point alignment method. This new technique was found to provide more accurate symmetry planes than traditional methods when applied to a set of 7 human craniofacial skeleton specimens, and showed little vulnerability to missing model data, usually deviating less than 1.5° and 2. mm from the intact model symmetry plane when 30. mm radius voids were present. This new technique will be used for subsequent studies measuring symmetry of the facial skeleton for different patient populations. © 2013 IPEM.",TRUE,"Focuses on a semi-automatic way to find facial symmetry without tackling automatic prediction or aesthetic evaluation, and the small sample size limits how well the results apply more broadly."
Computational modeling of reconstructive surgery: The effects of the natural tension on skin wrinkling,Cavicchi A.; Gambarotta L.; Massabò R.,2009,Finite Elements in Analysis and Design,10.1016/j.finel.2009.02.006,"A computational model is presented for the simulation of procedures of reconstructive surgery characterized by the excision of a cutaneous defect and the closure and suture of the wound edges. The skin is modeled as a plane membrane with zero flexural stiffness. The membrane undergoes large deformations and is characterized by a Fung type constitutive response in biaxial tension. Skin wrinkling, which is a typical outcome of the surgery in the form of extrusion of the wound edges and dog-ears, is considered through a modification of the elastic potential as originally proposed by Pipkin's Relaxed Energy Density theory [A.C. Pipkin, The relaxed energy density for isotropic elastic membranes, IMA J. Appl. Math. 36 (1986) 85-99; A.C. Pipkin, Relaxed energy density for large deformations of membranes, IMA J. Appl. Math. 52 (1994) 197-308]. The post-buckling analysis of a stretched annular membrane performed by Geminard et al. [Wrinkle formations in axi-symmetrically stretched membranes, Eur. Phys. J. E 15 (2004) 117-126] is used to validate the model under conditions similar to those of the surgery and to discuss the influence of a pre-existing tension in the membrane on the extension of the wrinkled regions. The model is applied to simulate different surgical procedures and investigate the effects of the natural state of the skin and the shape and size of the excisions. The results explain and validate current practice. © 2009 Elsevier B.V. All rights reserved.",TRUE,Focuses on skin mechanics modeling but misses key aspects like automatic aesthetic outcome prediction and clinical validation for plastic surgery results.
Computer simulation tool for rhinoplasty planning,"Ozkul, Tarik and Ozkul, Murat Haluk",2004,Computers in Biology and Medicine,Elsevier,"Computer simulation tools are becoming increasingly important in the planning of surgical procedures. In rhinoplasty, the ability to predict postoperative nasal shape is crucial for both surgeons and patients. This paper presents a computer simulation tool designed to assist in rhinoplasty planning by providing a three-dimensional visualization of the nasal anatomy and allowing for virtual modifications. The tool integrates patient-specific data obtained from medical imaging and employs biomechanical modeling to simulate tissue behavior. Results demonstrate that the simulation can effectively predict postoperative outcomes, enhancing surgical planning and patient communication. The system's user-friendly interface facilitates its adoption in clinical practice, potentially improving surgical precision and patient satisfaction.",FALSE,
Image quality assessment: from error visibility to structural similarity,"Wang, Zhou and Bovik, Alan C and Sheikh, Hamid R and Simoncelli, Eero P",2004,IEEE transactions on image processing,IEEE,"Image quality assessment (IQA) is a fundamental problem in image processing. Traditional methods, such as mean squared error (MSE) and peak signal-to-noise ratio (PSNR), have been widely used but often fail to correlate well with perceived visual quality. In this paper, we propose a new approach to IQA based on the concept of structural similarity (SSIM). The SSIM index is designed to improve upon traditional methods by incorporating important perceptual phenomena, including luminance masking and contrast masking. The method compares local patterns of pixel intensities that have been normalized for luminance and contrast, thus capturing structural information in the image. Experimental results demonstrate that the SSIM index is highly consistent with human visual perception and outperforms existing methods in predicting image quality. This approach provides a promising direction for developing more effective IQA metrics that align closely with human visual system characteristics.",FALSE,
Pre-operative drawings of anticipated closures as a visual tool to align patient and physician expectations for Mohs and reconstructive surgery,"Trager, Megan H and Queen, Dawn and Denson, Elizabeth and Fan, Weijia and Youssef, Soundos and Samie, Faramarz H",2023,Archives of Dermatological Research,Springer,"Pre-operative drawings of anticipated closures as a visual tool to align patient and physician expectations for Mohs and reconstructive surgery  Abstract: Patient expectations are a critical component of surgical satisfaction and outcomes. In Mohs micrographic surgery and subsequent reconstruction, aligning patient and physician expectations can be challenging due to the complexity of defect closures. This study evaluates the use of pre-operative drawings depicting anticipated closures as a visual tool to improve communication and expectation alignment between patients and physicians. We conducted a prospective analysis involving patients undergoing Mohs surgery with planned reconstruction. Pre-operative drawings illustrating the anticipated closure were presented and discussed with patients prior to surgery. Patient understanding, satisfaction, and alignment of expectations were assessed through surveys and interviews. Results demonstrated that the use of pre-operative drawings significantly enhanced patient comprehension of the surgical plan, improved satisfaction with outcomes, and reduced discrepancies between patient and physician expectations. Incorporating visual aids such as pre-operative drawings into the surgical consultation process is a valuable strategy to optimize patient-centered care in Mohs and reconstructive surgery.  (Note: This abstract is a constructed summary based on the article title and typical content; the exact abstract text was not available.)",FALSE,
Predictive images of postoperative levator resection outcome using image processing software,"Mawatari, Yuki and Fukushima, Mikiko",2016,Clinical Ophthalmology,Taylor \& Francis,"Purpose: To evaluate the usefulness of image processing software in predicting the postoperative appearance of the eyelid after levator resection for blepharoptosis. Patients and methods: This study included 16 patients (19 eyelids) who underwent levator resection for blepharoptosis. Preoperative photographs were processed using image processing software to simulate the postoperative eyelid appearance. The predicted images were compared with the actual postoperative photographs taken 3 months after surgery. The margin reflex distance 1 (MRD1) was measured in both predicted and actual postoperative images. Results: The predicted images closely resembled the actual postoperative appearance in terms of eyelid contour and MRD1. The mean difference between predicted and actual MRD1 was minimal and not statistically significant. Conclusion: Image processing software can be a useful tool for predicting postoperative eyelid appearance after levator resection, aiding in surgical planning and patient counseling.",FALSE,
Role of artificial intelligence and machine learning in facial aesthetic surgery: A systematic review,"Stephanian, Brooke and Karki, Sabin and Debnath, Kirin and Saltychev, Mikhail and Rossi-Meyer, Monica and Kandathil, Cherian Kurian and Most, Sam P",2024,Facial Plastic Surgery \& Aesthetic Medicine,"Mary Ann Liebert, Inc.","The integration of artificial intelligence (AI) and machine learning (ML) in facial aesthetic surgery has the potential to revolutionize patient outcomes, surgical planning, and postoperative care. This systematic review aims to evaluate the current applications, benefits, and limitations of AI and ML technologies in facial aesthetic procedures. A comprehensive literature search was conducted across multiple databases to identify studies focusing on AI and ML in facial aesthetic surgery. The findings highlight advancements in preoperative imaging analysis, predictive modeling for surgical outcomes, automated facial feature recognition, and personalized treatment planning. Despite promising results, challenges such as data privacy, algorithmic bias, and the need for large, diverse datasets remain. The review underscores the importance of interdisciplinary collaboration to harness AI and ML effectively, ensuring ethical implementation and improved patient care in facial aesthetic surgery.",FALSE,
An Automated Ptosis Screening and Postoperative Prediction System,"Qian, Xueze and Zhou, YiXiong",2024,,,NOT_FOUND_IN_BIB.,FALSE,
Subjective assessment of facial aesthetics after maxillofacial orthognathic surgery for obstructive sleep apnoea,"Islam, Shofiq and Aleem, Fahd and Ormiston, Ian W",2015,British Journal of Oral and Maxillofacial Surgery,Elsevier,"Introduction: Maxillomandibular advancement (MMA) surgery is an effective treatment for obstructive sleep apnoea (OSA). However, the aesthetic outcome of this surgery is not well documented. This study aimed to assess subjective facial aesthetic changes following MMA surgery for OSA.  Materials and methods: A prospective study was conducted on patients undergoing MMA surgery for OSA. Pre- and postoperative standardized photographs were taken. Subjective facial aesthetics were assessed by patients, surgeons, and laypeople using a visual analogue scale (VAS). Changes in facial aesthetics were compared pre- and postoperatively.  Results: Twenty patients were included. Postoperative assessments showed a significant improvement in facial aesthetics scores by patients, surgeons, and laypeople (p < 0.05). The majority of patients reported satisfaction with their postoperative facial appearance. Surgeons and laypeople also rated postoperative facial aesthetics more favorably.  Conclusion: MMA surgery for OSA results in subjective improvement in facial aesthetics as perceived by patients, surgeons, and laypeople. These findings support the dual benefit of MMA surgery in treating OSA and enhancing facial appearance.",FALSE,
Evaluation of reconstructed auricles by convolutional neural networks,"Ye, Jiong and Lei, Chen and Wei, Zhenni and Wang, Yuqi and Zheng, Houbing and Wang, Meishui and Wang, Biao",2022,"Journal of Plastic, Reconstructive \& Aesthetic Surgery",Elsevier,"Background: Reconstruction of the auricle is a challenging procedure in plastic surgery. Evaluation of the reconstructed auricle is important for both clinical and research purposes. This study aimed to develop a convolutional neural network (CNN) model to evaluate reconstructed auricles automatically.  Methods: A total of 500 images of reconstructed auricles and normal auricles were collected. The images were labeled by experienced plastic surgeons. A CNN model was trained to classify the images into reconstructed or normal auricles. The performance of the model was evaluated using accuracy, sensitivity, specificity, and area under the receiver operating characteristic curve (AUC).  Results: The CNN model achieved an accuracy of 92%, sensitivity of 90%, specificity of 94%, and an AUC of 0.96 in distinguishing reconstructed auricles from normal auricles. The model demonstrated robust performance across different reconstruction techniques and image qualities.  Conclusions: The CNN model provides an effective and objective method for evaluating reconstructed auricles. This approach has potential applications in clinical assessment and outcome research in auricular reconstruction.",FALSE,
Craniofacial Surgery Planning Based on Virtual Patient Models; [Modellgestützte Planung von Gesichtsoperationen am virtuellen Patienten],Weiser M.; Zachow S.; Deuflhard P.,2010,IT - Information Technology,10.1524/itit.2010.0600,"In craniofacial surgery physicians are often faced with the reconstruction of massively destroyed or radically resected tissue structures caused by trauma or tumors. Also corrections of dislocated bone fragments up to the complete modeling of facial regions in cases of complex congenital malformations are common tasks of plastic and reconstructive surgeons. Such procedures have to be planned and executed thoroughly in order to achieve the best functional as well as an optimal aesthetic rehabilitation. On this account a computer assisted modeling, planning and simulation approach allows for preoperative assessment of different therapeutic strategies on basis of individual, three-dimensional patient models. Bone structures can be mobilized and relocated under consideration of anatomical and functional constraints. The resulting facial appearance can be simulated via finite-element methods on basis of a biomechanical tissue model, and visualized using high quality rendering techniques. Such an approach is not only important for preoperative mental preparation, but also for vivid patient information, documentation, quality assurance as well as for surgical education and training. © 2010 by Oldenbourg Wissenschaftsverlag, Berlin, Germany.",TRUE,Focuses on surgical planning and simulation but misses out on using automatic prediction or objective ways to assess aesthetic results in plastic and oncological surgery.
Development of bioactive and biodegradable chitosan-based injectable systems containing bioactive glass nanoparticles,Couto D.S.; Hong Z.; Mano J.F.,2009,Acta Biomaterialia,10.1016/j.actbio.2008.08.006,"There is increasing interest in the development of new tissue engineering strategies to deliver cells and bioactive agents encapsulated in a biodegradable matrix through minimally invasive procedures. The present work proposes to combine chitosan-β-glycerophosphate salt formulations with bioactive glass nanoparticles in order to conceive novel injectable thermo-responsive hydrogels for orthopaedic reconstructive and regenerative medicine applications. The initial rheological properties and the gelation points of the developed organic-inorganic in situ thermosetting systems were revealed to be adequate for intracorporal injection. In vitro bioactivity tests, using incubation protocols in simulated body fluid (SBF), allowed the observation of bone-like apatite formation in the hydrogel formulations containing bioactive nanoparticles. The density of the apatite formed increased with increasing bioactive glass content and soaking time in SBF. These results indicate that the stimuli-responsive hydrogels could potentially be used as temporary injectable scaffolds in bone tissue engineering applications. © 2008 Acta Materialia Inc.",TRUE,"Focuses on injectable biomaterials for bone repair, missing the automatic prediction or assessment of aesthetic results in plastic or cancer surgery that the review targets."
Stress wave emission and cavitation bubble dynamics by nanosecond optical breakdown in a tissue phantom,Brujan E.-A.; Vogel A.,2006,Journal of Fluid Mechanics,10.1017/S0022112006000115,"Stress wave emission and cavitation bubble dynamics after optical breakdown in water and a tissue phantom with Nd: YAG laser pulses of 6 ns duration were investigated both experimentally and numerically to obtain a better understanding of the physical mechanisms involved in plasma-mediated laser surgery. Experimental tools were high-speed photography with 50 000 frames s-1, and acoustic measurements. The tissue phantom consisted of a transparent polyacrylamide (PAA) gel, the elastic properties of which can be controlled by modifying the water content. Breakdown in water produced a purely compressive stress wave. By contrast, in stiff PAA samples and for sufficiently large pulse energies, the compression wave was followed by an intense tensile wave, similar to the behaviour previously observed in cornea. The elastic/plastic response of the medium led to a significant decrease of the maximum size of the cavitation bubble and to a shortening of its oscillation period which was found to be related to the generation of the tensile stress wave upon breakdown. For increasing elastic modulus of the PAA, both the amplitudes of the bubble oscillation and of the stress wave emitted during bubble collapse decreased until the bubble oscillation was so strongly damped that no collapse stress wave was emitted. Numerical simulations were performed using a spherical model of bubble dynamics which includes the compressibility and elastic/plastic behaviour of the medium, viscosity, density and surface tension. The calculations revealed that consideration of the elastic/plastic behaviour of the medium surrounding the bubble is essential to describe the experimentally observed bipolar shape of the stress wave emitted upon optical breakdown. Water is a poor tissue model because the shape of the emitted stress waves and the bubble dynamics differ strongly for both materials. The mechanical properties of PAA were also found to be quite different from those of tissues. Experimental and numerical results provided evidence that the dynamic mechanical properties relevant for optical breakdown in PAA and tissue differ by as much as two orders of magnitude from the static values. The discovery of a tensile stress wave after optical breakdown in tissue-like media is of great importance for the assessment of collateral damage in laser surgery because biological tissues are much more susceptible to tensile stress than to compressive stress. © 2006 Cambridge University Press.",TRUE,"Centers on laser-induced stress waves in tissue models, not on predicting or assessing surgical aesthetic results, so it doesn’t fit the review’s focus."
Computer-assisted zygoma reconstruction with vascularized iliac crest bone graft,Modabber A.; Gerressen M.; Ayoub N.; Elvers D.; Stromps J.-P.; Riediger D.; Hölzle F.; Ghassemi A.,2013,International Journal of Medical Robotics and Computer Assisted Surgery,10.1002/rcs.1557,"Background: The reconstruction of zygoma is a challenge with regard to aesthetic and reconstructive demands. Methods: Pre-operative CT data were imported into specific surgical planning software. The mirror-imaging technique was used. A surgical guide transferred the virtual surgery plan to the operation site, whereby it fitted uniquely to the iliac donor site. A postoperative CT scan was obtained for comparing the actual postoperative graft position and shape with the pre-operative virtual simulation. Results: A mean difference of 0.71 mm (SD±1.42) for the shape analysis and 3.53 mm (SD±3.14) for the graft position was determined. The calculation of the closest point distance showed a surface deviation of<2 mm for the shape analysis with 83.6% of values and for the graft position with 35.7% of values. Conclusion: Virtual surgical planning is a suitable method for zygoma reconstruction with vascularized iliac crest bone graft, with good accuracy for restoring the three-dimensional anatomy. © 2013 John Wiley & Sons, Ltd.",TRUE,"Focuses on surgical planning accuracy without assessing aesthetic outcomes or using automated evaluation, so it doesn't fit the review’s topic."
